"","s.Historic","s.Restored","s.Salt_Pond","index","stat","p.value"
"121",0,0,1,3,0.651549538430747,0.0012
"122",0,0,1,3,0.301218010199507,0.4496
"123",0,1,0,2,0.604593271536697,0.001
"124",0,1,0,2,0.734729344095437,1e-04
"125",0,1,0,2,0.488127774558758,0.0029
"126",0,0,1,3,0.430281452789348,0.0407
"127",1,0,0,1,0.579390738393768,0.0055
"128",0,0,1,3,0.442422700932483,0.0682
"129",0,1,1,6,0.484488669870099,0.0567
"130",1,0,0,1,0.417652727760685,0.0206
"131",0,0,1,3,0.416459572426865,0.1132
"132",0,0,1,3,0.338918809755957,0.1154
"133",1,0,0,1,0.564257801691482,1e-04
"134",0,0,1,3,0.759550333311528,4e-04
"135",0,0,1,3,0.812441289717069,2e-04
"136",1,0,0,1,0.720899363666591,1e-04
"137",0,0,1,3,0.294568759696737,0.4725
"138",1,0,0,1,0.457873512928826,1e-04
"139",0,0,1,3,0.472673235461693,0.0259
"140",1,0,0,1,0.504424087345431,1e-04
"141",0,1,0,2,0.507020826679547,2e-04
"142",0,0,1,3,0.796180626368772,2e-04
"143",0,0,1,3,0.506085535073281,0.0301
"145",0,0,1,3,0.728193489391648,4e-04
"146",0,0,1,3,0.723308810252556,9e-04
"147",0,0,1,3,0.835745512268607,1e-04
"148",0,1,0,2,0.451165651901936,1e-04
"149",0,0,1,3,0.383926723906473,0.0659
"150",0,1,0,2,0.568118279037452,1e-04
"151",0,0,1,3,0.765135826034276,1e-04
"152",1,0,0,1,0.355665738984405,0.0555
"153",1,0,0,1,0.578091836001918,1e-04
"154",0,1,0,2,0.825614992881511,1e-04
"155",0,0,1,3,0.43500824426399,0.0862
"156",0,0,1,3,0.539538586676788,0.0168
"157",0,0,1,3,0.649117052867937,0.0018
"158",0,1,0,2,0.777293156044007,1e-04
"159",1,0,0,1,0.774232276534344,1e-04
"160",1,0,0,1,0.380414883884575,0.1412
"161",1,0,0,1,0.437032101562649,3e-04
"162",1,0,0,1,0.639478957538442,1e-04
"163",0,0,1,3,0.643215516084886,0.0061
"164",0,1,0,2,0.737027303807275,1e-04
"165",0,0,1,3,0.658628801922406,0.0026
"166",0,0,1,3,0.500269081984917,0.0109
"168",0,1,0,2,0.808363369277006,1e-04
"169",1,1,0,4,0.500163167024722,0.0391
"170",1,0,0,1,0.361352982073931,0.1035
"171",0,0,1,3,0.658512237505281,0.0031
"172",0,0,1,3,0.879063688626394,1e-04
"173",1,0,0,1,0.476740198406245,0.0109
"174",0,0,1,3,0.517391098545059,0.0277
"175",1,0,0,1,0.54667065849033,1e-04
"176",0,1,0,2,0.627291866414131,1e-04
"177",0,0,1,3,0.558736162038674,0.0017
"178",1,0,0,1,0.443455253784129,0.0136
"179",1,0,0,1,0.383839074614005,1e-04
"180",0,0,1,3,0.823208486264656,3e-04
"181",0,0,1,3,0.5304783231462,0.0088
"182",1,0,0,1,0.397174955879253,0.1078
"183",1,0,0,1,0.362204226060094,1e-04
"184",0,0,1,3,0.695984550393884,0.0014
"185",0,0,1,3,0.583848907217364,0.0049
"186",0,0,1,3,0.38430188610874,0.1061
"187",1,0,0,1,0.517765391476254,1e-04
"188",0,0,1,3,0.488577878893531,0.0305
"189",0,0,1,3,0.703581567812384,0.0016
"190",0,1,0,2,0.778406737680842,1e-04
"191",1,0,0,1,0.459892199399216,4e-04
"192",0,1,0,2,0.801587958483621,1e-04
"193",0,1,0,2,0.786689256123837,1e-04
"194",0,0,1,3,0.685067251317092,0.0011
"195",0,1,0,2,0.731286142582828,1e-04
"196",0,1,0,2,0.933243975089755,1e-04
"197",0,1,0,2,0.579705572900316,4e-04
"198",0,1,0,2,0.667122983112649,1e-04
"199",0,0,1,3,0.429379523136512,0.0825
"200",0,1,0,2,0.56827509226911,0.0155
"201",1,0,0,1,0.385191474891991,1e-04
"202",0,1,0,2,0.63763349634066,4e-04
"204",1,0,0,1,0.37533330461937,0.1294
"205",0,0,1,3,0.693253995136876,7e-04
"206",0,0,1,3,0.573314427410583,0.0111
"207",0,1,0,2,0.772092336634347,1e-04
"208",0,1,1,6,0.480554301822479,0.0568
"209",1,0,0,1,0.741676956917028,1e-04
"210",0,0,1,3,0.853630162952898,1e-04
"211",0,0,1,3,0.871383363349593,1e-04
"212",0,1,0,2,0.897715365911458,1e-04
"213",0,0,1,3,0.907931243570602,1e-04
"214",1,0,0,1,0.341090461742527,0.3273
"215",0,0,1,3,0.816360548916474,1e-04
"216",1,0,0,1,0.429034366237937,0.0042
"217",0,0,1,3,0.793619669222396,3e-04
"218",1,0,0,1,0.397977209515876,0.0052
"219",1,0,0,1,0.396711580809995,1e-04
"220",0,0,1,3,0.368016693057095,0.1142
"221",1,0,0,1,0.29388982736224,0.5207
"222",1,0,0,1,0.649416895288694,0.0012
"223",0,1,0,2,0.792145871556557,1e-04
"224",1,0,0,1,0.469622070100806,0.0421
"225",1,0,0,1,0.754624080794538,5e-04
"226",0,1,0,2,0.352365919227459,0.0505
"227",1,0,0,1,0.518148542071473,1e-04
"228",1,0,0,1,0.757343406867536,1e-04
"229",1,0,0,1,0.47118828006063,0.0957
"230",1,0,0,1,0.588945128838605,1e-04
"232",0,0,1,3,0.568926633350951,0.0062
"233",0,0,1,3,0.682755447420486,0.0027
"234",1,0,0,1,0.652186738704883,0.0021
"235",0,0,1,3,0.671946731124931,0.0021
"237",0,0,1,3,0.743287590396481,2e-04
"238",1,0,0,1,0.86286446769569,1e-04
"239",0,0,1,3,0.782257627398985,2e-04
"240",1,0,0,1,0.760608362862948,1e-04
"241",1,0,0,1,0.488918986279473,0.046
"242",0,0,1,3,0.762694870673554,7e-04
"243",1,0,0,1,0.754911408223959,1e-04
"245",0,0,1,3,0.632500849016099,0.0041
"246",0,0,1,3,0.744818619218425,6e-04
"247",1,0,0,1,0.662372473632933,1e-04
"248",0,0,1,3,0.933699143743801,1e-04
"249",0,0,1,3,0.460397869695866,0.0073
"250",0,0,1,3,0.695030877852587,0.0014
"251",0,0,1,3,0.733810786516297,2e-04
"252",0,0,1,3,0.697880965590343,2e-04
"253",1,1,0,4,0.377198387325904,0.1116
"254",1,0,0,1,0.528350224844604,1e-04
"255",1,0,0,1,0.49348566063648,0.0436
"256",0,0,1,3,0.607877318520847,0.002
"257",0,1,0,2,0.442970215257949,1e-04
"258",0,1,0,2,0.772327710376174,1e-04
"259",0,1,0,2,0.47728738435698,1e-04
"260",1,0,0,1,0.817968444855145,1e-04
"261",0,0,1,3,0.507984993099324,0.0215
"262",1,0,0,1,0.764732990544038,1e-04
"263",0,0,1,3,0.683014997737959,5e-04
"264",1,0,0,1,0.850522451512594,1e-04
"265",0,0,1,3,0.668676366461049,4e-04
"266",0,1,0,2,0.724445227836793,1e-04
"267",1,0,0,1,0.480716692910911,7e-04
"268",0,0,1,3,0.570037461010627,0.015
"269",1,0,0,1,0.541660774715153,1e-04
"270",0,0,1,3,0.585487271100532,0.0036
"271",0,1,0,2,0.7084628592204,1e-04
