#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage	Kingdom	Phylum	Class	Order	Family	Genus
611	205	227	92	67	160	107	0	0	0	0	0	0	35	18	122	23	123	9	2	0	3	3	4	3	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus
612	41	69	69	7	47	185	0	1	2	0	1	0	154	62	169	221	162	135	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Anaerobacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anaerobacillus
613	0	1	1	2	0	0	34	11	10	3	4	0	0	16	0	1	1	0	142	411	152	141	302	89	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Robiginitalea	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Robiginitalea
614	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	1	0	1	0	28	17	15	18	1220	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__SalinisphaeraceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	SalinisphaeraceaeFA
615	0	0	1	0	0	0	2	0	19	82	0	0	0	0	0	0	0	0	728	212	13	10	241	11	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__Lewinella	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Saprospiraceae	Lewinella
616	0	0	0	0	0	0	904	348	39	0	18	3	0	0	0	0	0	0	0	0	1	1	1	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flammeovirgaceae;g__FlammeovirgaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Flammeovirgaceae	FlammeovirgaceaeFA
617	0	0	0	0	0	0	1	2	85	1186	26	13	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Croceibacter	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Croceibacter
619	1	1	0	3	1	7	617	114	231	4	37	2	11	25	1	41	1	46	62	31	15	25	28	3	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Arenibacter	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Arenibacter
620	0	0	0	0	0	0	1	372	181	52	264	439	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__OceanospirillaceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	OceanospirillaceaeFA
621	0	0	0	0	0	0	36	492	138	45	335	262	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL	Bacteria	Gemmatimonadetes	Gemmatimonadetes	GemmatimonadetesCL	GemmatimonadetesCL	GemmatimonadetesCL
622	0	0	0	0	0	0	5	0	5	9	1	6	0	1	0	0	0	0	283	312	164	197	264	61	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaCL	GammaproteobacteriaCL	GammaproteobacteriaCL
623	0	0	0	0	0	0	395	316	298	28	230	10	1	0	1	0	0	0	1	5	6	3	6	4	k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Pirellulales;f__PirellulalesOR;g__PirellulalesOR	Bacteria	Planctomycetes	Planctomycea	Pirellulales	PirellulalesOR	PirellulalesOR
624	0	0	0	0	3	5	0	0	0	0	0	0	27	2	28	2	1202	31	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halobacteroidaceae;g__HalobacteroidaceaeFA	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halobacteroidaceae	HalobacteroidaceaeFA
625	0	0	0	0	0	0	0	19	9	307	275	690	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__IgnavibacteriaceaeFA	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	IgnavibacteriaceaeFA
626	0	0	0	0	0	0	115	223	345	20	225	2	0	0	0	0	0	0	67	62	54	59	110	17	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	SinobacteraceaeFA
627	0	0	0	0	0	0	340	382	323	21	194	24	0	0	0	0	0	0	5	5	0	0	5	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__DRC31;f__DRC31OR;g__DRC31OR	Bacteria	Chloroflexi	Anaerolineae	DRC31	DRC31OR	DRC31OR
628	0	0	0	0	0	0	226	323	634	39	59	2	0	0	0	0	0	0	3	3	3	0	2	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Inquilinus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus
629	123	89	108	106	83	218	0	1	3	0	0	0	86	76	97	96	81	87	0	0	1	1	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__RhodobacteraceaeFA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	RhodobacteraceaeFA
630	0	0	0	0	0	0	9	2	1	2	0	0	0	0	0	0	0	0	262	115	236	228	388	48	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	DesulfobacteraceaeFA
631	1	5	16	4	10	10	522	5	113	2	10	1	15	31	99	1	91	25	3	1	21	17	21	37	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	DesulfobulbaceaeFA
632	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	55	37	306	280	369	238	k__Bacteria;p__GN04;c__GN15;o__GN15CL;f__GN15CL;g__GN15CL	Bacteria	GN04	GN15	GN15CL	GN15CL	GN15CL
633	0	0	0	0	0	0	3	3	2	6	6	0	0	0	0	0	0	0	259	370	104	101	357	70	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__PhycisphaeraeCL;f__PhycisphaeraeCL;g__PhycisphaeraeCL	Bacteria	Planctomycetes	Phycisphaerae	PhycisphaeraeCL	PhycisphaeraeCL	PhycisphaeraeCL
634	0	0	0	0	0	0	24	2	4	13	0	0	1	0	0	0	0	0	213	323	198	149	247	107	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__ChromatialesOR;g__ChromatialesOR	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	ChromatialesOR	ChromatialesOR
635	0	0	0	0	0	0	87	3	27	11	7	0	0	0	0	0	0	0	381	171	105	102	354	27	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flammeovirgaceae;g__FlammeovirgaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Flammeovirgaceae	FlammeovirgaceaeFA
636	0	0	0	0	0	0	4	55	69	445	173	497	0	0	0	0	0	0	0	5	2	1	7	15	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Pelobacteraceae;g__Pelobacter	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae	Pelobacter
637	15	30	7	14	10	13	45	42	57	8	94	3	5	14	31	6	12	10	29	12	3	4	114	12	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
638	0	1	10	2	2	3	0	0	0	0	1	0	69	14	10	18	18	13	0	0	0	0	1	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix
639	8	3	14	3	19	38	1	1	1	0	0	0	4	39	19	26	4	6	0	11	348	285	40	392	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
640	0	0	0	0	0	0	284	388	379	18	190	10	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26;f__CFB-26OR;g__CFB-26OR	Bacteria	Chloroflexi	Anaerolineae	CFB-26	CFB-26OR	CFB-26OR
641	4	1	8	1	18	10	0	0	1	0	0	0	25	167	40	76	29	53	0	0	5	4	0	2	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
642	57	27	15	21	29	42	0	1	0	0	0	0	3	68	15	15	5	11	0	1	449	315	20	161	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
643	0	0	0	0	0	0	5	2	8	17	1	0	0	0	0	0	0	0	354	261	136	141	284	55	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	DesulfobulbaceaeFA
644	0	0	0	0	0	0	6	325	9	5	771	144	0	0	0	0	0	0	1	1	0	0	2	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__ChromatialesOR;g__ChromatialesOR	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	ChromatialesOR	ChromatialesOR
645	0	0	0	0	0	0	2	0	1	14	27	19	0	0	0	0	0	0	248	130	97	91	605	30	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	DesulfobulbaceaeFA
646	2	1	3	13	6	225	0	4	3	0	0	0	333	457	34	100	4	33	0	0	6	2	0	1	k__Bacteria;p__Hyd24-12;c__WM88;o__WM88CL;f__WM88CL;g__WM88CL	Bacteria	Hyd24-12	WM88	WM88CL	WM88CL	WM88CL
648	342	234	84	94	168	69	0	0	0	0	0	0	87	45	28	26	23	28	0	0	6	3	0	0	k__Bacteria;p__TM6;c__SJA-4;o__SJA-4CL;f__SJA-4CL;g__SJA-4CL	Bacteria	TM6	SJA-4	SJA-4CL	SJA-4CL	SJA-4CL
650	52	40	95	50	56	76	0	0	0	0	1	0	185	124	53	121	51	277	0	0	6	3	4	1	k__Bacteria;p__Spirochaetes;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__SJA-88	Bacteria	Spirochaetes	Leptospirae	Leptospirales	Leptospiraceae	SJA-88
651	0	0	0	0	0	0	7	144	28	11	914	146	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae;g__Levilinea	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolinaceae	Levilinea
652	0	0	0	0	0	0	360	265	38	28	28	1	0	2	0	0	0	0	169	99	28	26	200	4	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosomonas	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
653	60	41	62	41	132	111	0	0	1	0	1	0	32	106	88	113	34	104	0	0	0	1	0	2	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
654	0	0	0	0	0	0	838	86	140	5	9	1	0	0	0	0	0	0	14	8	37	39	43	24	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-101;f__SHA-31;g__SHA-31FA	Bacteria	Chloroflexi	Anaerolineae	SJA-101	SHA-31	SHA-31FA
655	0	0	0	1	0	0	30	149	119	18	880	43	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Flammeovirgaceae;g__FlammeovirgaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Flammeovirgaceae	FlammeovirgaceaeFA
656	0	0	0	0	0	0	26	19	33	199	487	457	0	0	3	2	0	0	0	3	2	1	0	1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	SolirubrobacteralesOR	SolirubrobacteralesOR
657	1	0	1	1	0	0	477	144	131	37	29	7	0	1	1	1	1	0	55	42	52	59	149	37	k__Bacteria;p__Verrucomicrobia;c__R76-B18;o__R76-B18CL;f__R76-B18CL;g__R76-B18CL	Bacteria	Verrucomicrobia	R76-B18	R76-B18CL	R76-B18CL	R76-B18CL
658	0	0	0	0	0	0	6	0	1	43	1	2	0	3	0	1	0	3	93	255	141	150	357	170	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__Desulfobacterium	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	Desulfobacterium
659	0	0	0	0	0	0	0	19	20	33	301	98	0	0	0	0	0	0	0	4	8	6	1	55	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	RhodospirillaceaeFA
660	338	123	50	41	537	112	1	0	0	0	1	0	2	1	3	4	1	1	0	0	0	0	0	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
661	0	0	0	0	0	0	0	0	2	11	0	0	0	1	0	0	1	0	321	163	269	203	219	32	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
662	56	15	75	25	157	131	0	2	1	0	0	0	19	229	98	89	48	50	0	3	25	18	4	33	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
663	0	0	0	0	0	0	50	476	183	73	349	85	0	0	0	0	0	0	0	0	1	0	0	1	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__koll13;f__koll13OR;g__koll13OR	Bacteria	Actinobacteria	Actinobacteria	koll13	koll13OR	koll13OR
664	0	0	0	0	0	0	459	373	272	52	52	2	0	0	0	0	0	0	1	0	0	0	3	0	k__Bacteria;p__Proteobacteria	Bacteria	Proteobacteria	ProteobacteriaPH	ProteobacteriaPH	ProteobacteriaPH	ProteobacteriaPH
665	68	76	33	44	43	32	0	0	0	0	0	0	197	265	108	57	111	136	0	1	0	0	0	0	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta
666	0	1	0	0	0	0	1	2	5	168	104	538	0	0	0	0	0	0	16	44	69	40	57	166	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
667	0	0	0	0	0	0	10	2	6	23	1	0	0	1	0	0	0	0	244	181	209	194	287	53	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Ulvibacter	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Ulvibacter
668	0	0	2	1	1	3	0	1	37	46	188	844	1	8	4	3	0	2	6	4	10	13	23	11	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__ClostridiaceaeFA	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	ClostridiaceaeFA
669	0	0	1	0	3	3	2	50	24	1061	1	8	1	17	9	9	0	1	2	9	0	0	2	1	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus
670	31	11	41	41	100	160	0	0	1	0	0	0	1	120	66	6	8	10	2	4	125	102	13	9	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaCL	GammaproteobacteriaCL	GammaproteobacteriaCL
671	41	39	50	71	86	60	27	13	42	2	4	2	81	95	94	71	125	107	58	12	9	9	37	4	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__OM60;g__Congregibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM60	Congregibacter
672	0	0	0	0	0	0	2	0	46	1119	1	17	0	0	0	0	0	0	3	5	4	4	2	2	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SB-34;f__SB-34OR;g__SB-34OR	Bacteria	Chloroflexi	Anaerolineae	SB-34	SB-34OR	SB-34OR
673	6	19	45	29	28	22	0	0	2	0	1	1	129	71	226	94	171	291	0	0	0	0	1	0	k__Bacteria;p__TG3;c__TG3-1;o__GN09;f__GN09OR;g__GN09OR	Bacteria	TG3	TG3-1	GN09	GN09OR	GN09OR
674	0	0	0	0	0	0	0	48	14	288	242	613	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	VerrucomicrobialesOR	VerrucomicrobialesOR
675	62	46	51	78	114	119	35	47	66	5	15	4	20	145	77	85	49	75	1	1	8	5	5	11	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL	Bacteria	Gemmatimonadetes	Gemmatimonadetes	GemmatimonadetesCL	GemmatimonadetesCL	GemmatimonadetesCL
676	10	23	19	12	25	16	0	0	8	0	1	0	4	6	12	5	18	1	0	4	324	305	12	35	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaCL	GammaproteobacteriaCL	GammaproteobacteriaCL
677	0	0	0	0	0	0	66	86	116	25	224	31	0	2	0	0	0	0	143	106	99	87	183	32	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	SinobacteraceaeFA
678	1	1	18	1	23	210	2	3	10	2	3	15	26	200	70	190	5	38	3	27	53	56	69	170	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
679	0	0	0	0	0	0	5	0	2	1	0	0	1	12	0	0	0	0	57	12	138	123	200	643	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__P30-6	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	P30-6
680	0	0	1	0	1	0	0	2	0	0	0	0	0	29	0	0	1	1	0	8	115	80	2	6	k__Archaea;p__Crenarchaeota;c__pMC2A209;o__pMC2A209CL;f__pMC2A209CL;g__pMC2A209CL	Archaea	Crenarchaeota	pMC2A209	pMC2A209CL	pMC2A209CL	pMC2A209CL
681	16	5	53	19	63	32	0	0	3	0	0	0	55	200	125	104	110	99	1	4	1	3	3	0	k__Bacteria;p__WS3;c__PRR-12;o__GN03;f__GN03OR;g__GN03OR	Bacteria	WS3	PRR-12	GN03	GN03OR	GN03OR
682	129	264	166	55	32	59	0	0	0	0	1	0	88	25	68	50	64	76	28	2	1	0	31	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__ClostridialesOR;g__ClostridialesOR	Bacteria	Firmicutes	Clostridia	Clostridiales	ClostridialesOR	ClostridialesOR
683	0	0	0	0	0	0	13	289	296	23	522	36	0	0	0	0	0	0	1	2	1	2	4	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__RhodobacteralesOR;g__RhodobacteralesOR	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	RhodobacteralesOR	RhodobacteralesOR
684	0	0	0	0	0	1	1	477	1	1	273	426	0	0	2	0	0	0	1	0	0	0	1	0	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Gelidibacter	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Gelidibacter
685	5	6	3	3	5	3	192	107	129	12	23	8	1	3	14	2	9	4	145	144	81	63	179	25	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__OM60;g__OM60FA	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM60	OM60FA
686	16	1	23	2	4	52	0	2	0	0	0	0	1	93	31	9	1	3	1	31	248	218	11	30	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaCL	GammaproteobacteriaCL	GammaproteobacteriaCL
687	126	204	124	95	74	53	11	0	2	0	0	0	21	27	71	36	184	30	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Sulfurospirillum	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum
688	0	0	0	0	0	0	57	278	328	46	388	68	0	0	0	0	0	0	3	0	0	1	2	1	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	RhodospirillaceaeFA
689	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	87	64	318	303	312	83	k__Bacteria;p__Spirochaetes;c__WWE1;o__PBS-18;f__SHA-4;g__Cand. Cloacamonas	Bacteria	Spirochaetes	WWE1	PBS-18	SHA-4	Cand. Cloacamonas
690	0	0	1	0	0	0	0	0	6	6	0	0	0	1	0	0	0	0	385	92	68	68	497	39	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
691	0	0	0	0	0	0	1	126	97	59	735	139	0	0	0	0	0	0	1	1	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes
692	40	26	67	26	116	174	0	0	0	0	1	0	45	109	101	108	24	81	0	0	51	27	1	7	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
693	0	0	0	0	0	0	25	1	43	19	1	0	0	0	0	0	0	0	360	102	69	69	444	23	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
695	33	164	37	11	5	101	0	0	1	1	0	0	65	25	67	61	351	203	0	0	0	0	0	2	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Halolactibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halolactibacillus
696	1	0	0	0	0	0	143	333	505	19	135	9	0	0	0	0	0	0	0	2	1	0	2	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__RhizobialesOR;g__RhizobialesOR	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	RhizobialesOR	RhizobialesOR
697	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	109	71	322	328	267	52	k__Bacteria;p__WS3;c__PRR-12;o__SSS58A;f__SSS58AOR;g__SSS58AOR	Bacteria	WS3	PRR-12	SSS58A	SSS58AOR	SSS58AOR
698	0	0	0	0	0	0	2	1	4	1	9	0	0	0	0	0	0	0	128	149	305	264	209	78	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	SinobacteraceaeFA
