#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage	Kingdom	Phylum	Class	Order	Family	Genus
2447	0	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	41	39	24	20	84	13	k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__Sva0725OR;g__Sva0725OR	Bacteria	Acidobacteria	Sva0725	Sva0725	Sva0725OR	Sva0725OR
2448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	38	39	92	28	k__Bacteria;p__Acidobacteria;c__OS-K;o__OS-KCL;f__OS-KCL;g__OS-KCL	Bacteria	Acidobacteria	OS-K	OS-KCL	OS-KCL	OS-KCL
2449	0	0	0	0	0	0	0	0	11	204	7	6	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__IgnavibacteriaceaeFA	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	IgnavibacteriaceaeFA
2450	0	0	1	2	0	0	4	111	21	2	41	37	0	0	0	0	0	0	1	0	0	0	7	1	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__ChromatialesOR;g__ChromatialesOR	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	ChromatialesOR	ChromatialesOR
2451	0	0	0	0	0	0	125	16	83	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__AnaerolineaeCL;f__AnaerolineaeCL;g__AnaerolineaeCL	Bacteria	Chloroflexi	Anaerolineae	AnaerolineaeCL	AnaerolineaeCL	AnaerolineaeCL
2452	2	1	5	0	1	5	0	0	0	0	0	0	7	37	6	23	3	8	0	7	19	13	7	21	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Cohaesibacteraceae;g__CohaesibacteraceaeFA	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Cohaesibacteraceae	CohaesibacteraceaeFA
2454	53	94	24	40	1	0	0	1	0	0	0	0	8	1	3	0	0	0	0	0	1	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	DesulfobacteraceaeFA
2455	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	8	21	49	40	67	33	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Cand. Solibacter	Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Cand. Solibacter
2456	0	0	3	0	1	6	0	0	1	0	0	0	62	43	4	39	5	5	0	3	4	0	0	1	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__4C0d-2CL;f__4C0d-2CL;g__4C0d-2CL	Bacteria	Cyanobacteria	4C0d-2	4C0d-2CL	4C0d-2CL	4C0d-2CL
2457	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	14	4	3	3	188	11	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__SaprospiraceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Saprospiraceae	SaprospiraceaeFA
2458	0	0	0	0	0	0	22	107	29	1	11	1	0	0	0	0	0	0	9	6	11	13	15	1	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__GemmatimonadetesCL;f__GemmatimonadetesCL;g__GemmatimonadetesCL	Bacteria	Gemmatimonadetes	Gemmatimonadetes	GemmatimonadetesCL	GemmatimonadetesCL	GemmatimonadetesCL
2459	0	0	0	0	0	0	0	173	14	2	36	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__VerrucomicrobialesOR;g__VerrucomicrobialesOR	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	VerrucomicrobialesOR	VerrucomicrobialesOR
2460	0	0	0	0	0	0	64	60	64	16	17	4	0	0	0	0	0	0	0	0	0	0	1	0	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__A4b;f__A4bOR;g__A4bOR	Bacteria	Chloroflexi	Anaerolineae	A4b	A4bOR	A4bOR
2461	0	0	0	0	0	0	35	23	148	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__SphingomonadaceaeFA	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	SphingomonadaceaeFA
2462	0	0	0	0	0	0	48	87	36	1	48	6	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	MyxococcalesOR	MyxococcalesOR
