#OTU_ID	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
25	975.2705394	4430.687372	3197.251986	977.1334364	22830.07497	75088.65068	26.9399377	8.295630931	7.714002898	5.494131761	9.712035787	2.973706979	1.281964078	0	0	1.057996715	0	1.736294846	3.16422937	2.508701325	0.477804968	2.265219987	0	2.715210639
26	652.7216539	168.6591192	166.5098297	868.9508059	93.89823318	45.22867768	15322.8379	8850.055599	2843.895735	3461.30301	5718.894919	2845.837579	1.281964078	2.884419175	0	1.057996715	0	0.578764949	0	1.075157711	0.477804968	0	0.854642718	0
27	1.759357558	3.693265384	2.632566477	3.489762273	0	9.045735536	0	0	1.714222866	4.395305409	2.241239028	10.40797443	3457.457117	3091.135882	917.9341358	3149.656219	3063.212826	1299.32731	1263.318576	569.8335867	824.6913746	579.8963166	1345.207639	758.9013736
28	675.0068496	116.9534038	128.9957574	858.4815191	89.63013167	199.0061818	16361.52216	10358.47782	2288.487526	2929.471055	4040.206887	2185.674629	2.563928155	3.845892233	0.677442167	0	0.993581844	1.157529897	0	0	0	0.566304997	0.854642718	0.452535106
29	0.586452519	0	0	3.489762273	2.134050754	0	44.89989616	884.8672993	141.4233865	153.8356893	115.7973498	37748.23639	1.281964078	0.961473058	0	2.115993429	2.980745533	0	0.791057343	0.716771807	3.344634775	5.09674497	0	2.262675532
30	0.586452519	1.231088461	1.316283239	0	0	0	35.91991693	109.2258073	2909.893315	2927.273402	171.8283255	4945.274706	3.845892233	8.653257524	4.064653	8.463973717	10.92940029	10.41776908	2.373172028	1.433543614	33.44634775	2.265219987	2.563928155	2.262675532
31	67.44203971	76.3274846	22.37681506	17.44881136	27.7426598	0	826.1580894	152.0865671	131.9951607	143.9462521	607.3757765	193.2909536	7546.922525	2475.793125	785.1554711	991.3429216	1574.827223	1128.012885	317.2139944	413.5773327	596.7784049	296.1775133	906.7759243	226.2675532
32	68.02849223	73.86530768	59.89088735	38.387385	29.87671056	36.18294214	44.89989616	42.86075981	31.71312303	37.36009598	45.57186023	25.27650932	167.9372942	111.5308748	636.7956366	1503.413331	84.45445677	620.436025	1303.662501	1261.518381	354.0534812	2430.014741	228.1896058	3241.056433
33	181.2138284	14.77306154	46.06991335	55.83619637	10.67025377	162.8232396	185.5862375	82.95630931	185.993181	188.9981326	167.3458474	185.8566862	733.2834524	290.3648636	476.2418431	98.39369446	1582.775878	102.4413959	306.1391916	120.7760495	1302.974147	167.059974	2580.166367	891.0416247
34	222.2655048	228.9824538	134.2608903	150.0597777	277.426598	81.41161982	86.80646592	84.33891447	41.99846022	48.3483595	132.2331026	46.09245817	452.5333194	288.4419175	898.2883129	1059.054711	321.9205176	516.2583342	1841.581493	1073.365781	417.123737	1637.75405	656.3656078	2351.372413
35	0	2.462176923	1.316283239	3.489762273	0	0	2.993326411	0	0.857111433	4.395305409	3.73539838	10.40797443	2716.481881	2370.992562	1123.199112	1451.571492	1568.865732	435.8100064	530.0084195	101.0648248	578.6218161	609.3441764	4388.590359	814.5631917
37	21.11229069	295.4612307	90.16540184	21936.64565	2123.3805	1383.997537	80.8198131	1132.353622	499.6959655	585.6744458	1365.661648	7855.046985	3.845892233	3.845892233	6.0969795	9.521970432	4.967909222	5.787649487	11.0748028	6.809332168	14.33414904	18.68806489	3.418570874	9.05070213
38	0	16.00415	4.606991335	45.36690955	6.402152262	0	2.993326411	8.295630931	198.8498525	190.0969589	11.20619514	71.36896749	3134.40217	1930.637901	651.0219221	2245.069028	1420.822037	2231.717642	632.845874	619.6492273	179.176863	753.7519506	34.18570874	109.9660309
40	0	4.924353845	1.974424858	6.979524546	2.134050754	0	0	1.382605155	1.714222866	2.197652705	0	1.486853489	3116.454673	2292.151771	1203.81473	2215.44512	1581.782296	684.6789343	992.7769649	172.0252337	225.5239448	1491.647361	563.2095515	543.0421278
41	0	2.462176923	3.290708096	6.979524546	6.402152262	0	2.993326411	2.76521031	9.428225764	14.28474258	0.747079676	16.35538838	37.17695825	11.5376767	165.9733308	8.463973717	102.33893	198.5163774	427.170965	1155.077767	669.40476	556.6778117	773.4516602	840.3576927
42	0.586452519	12.31088461	18.42796534	6.979524546	14.93835528	0	2.993326411	1.382605155	35.14156876	29.66831151	4.482478056	35.68448375	1946.02147	1422.018653	987.0332368	2268.344956	1563.897823	906.3459097	1249.870601	466.2600605	388.9332439	937.8010745	820.4570097	801.4396736
43	0	3.693265384	0	0	2.134050754	9.045735536	0	0	3.428445732	1.098826352	0	2.973706979	2592.131365	3982.421407	2383.241542	5447.625084	625.956562	420.1833528	294.2733314	55.90820096	155.2866146	255.9698585	191.4399689	157.029682
44	0	1.231088461	1.316283239	6.979524546	0	9.045735536	0	0	2.571334299	2.197652705	0	1.486853489	1117.872676	696.1064942	623.2467933	1125.708504	533.5534504	343.2076146	4010.660727	168.7997606	182.5214977	912.3173496	2363.941759	966.1624524
45	0	8.617619229	0.658141619	13.95904909	2.134050754	27.13720661	5.986652822	1.382605155	4.285557166	2.197652705	0	1.486853489	5220.157724	1657.579552	774.3163964	2289.50489	1632.45497	756.445788	1771.968447	428.2711548	167.2317388	620.1039714	79.48177282	237.5809309
46	313.1656453	89.86945768	90.82354346	261.7321705	115.2387407	36.18294214	9087.738984	6044.749739	1566.7997	2102.054812	3084.691982	1727.723755	0	0	0.677442167	0	0	0.578764949	0.791057343	0.358385904	0.955609936	0	0.854642718	0.452535106
47	0	1.231088461	12.50469077	31.40786046	25.60860905	126.6402975	868.0646592	125.8170691	412.2705993	486.7800741	162.1162897	115.9745722	44.86874272	31.72861092	177.4898477	74.05977002	78.49296571	70.60932374	254.7204643	795.9750918	805.5791759	74.18595456	2667.339924	326.2778118
48	0.586452519	2.462176923	1.316283239	17.44881136	0	81.41161982	41.90656975	62.21723199	47.14112882	51.64483856	183.0345206	99.61918379	1387.085132	1540.279839	1970.679263	629.5080452	1566.878569	293.433829	250.7651776	146.5798346	737.7308704	308.6362232	1821.243633	254.777265
49	279.1513991	48.01244999	120.4399163	2125.265224	917.6418243	5888.773834	5860.933113	2875.818723	2045.924991	2559.166574	3050.326317	1684.605004	0	0.961473058	0.677442167	0	0	0.578764949	0.791057343	1.791929518	0.477804968	0	0	0
50	0.586452519	0	5.923274573	4763.525502	8.536203017	27.13720661	62.85985463	1849.925698	1303.66649	1429.573084	1444.852093	7724.203878	0	0	0	0	0	0.578764949	0.791057343	0.358385904	39.18000737	0.566304997	4.273213592	1.810140426
51	0	28.31503461	0	6.979524546	249.6839382	2478.531537	200.5528695	5123.934705	677.1180322	795.5502791	342.9095713	4093.307656	0	0.961473058	0.677442167	0	0.993581844	1.157529897	1.582114685	1.075157711	6.211464583	5.09674497	1.709285437	1.810140426
52	285.6023769	113.2601384	168.4842545	310.5888423	98.16633469	27.13720661	7671.895591	4919.309142	1488.802559	1949.317949	2600.584352	1182.048524	2.563928155	0.961473058	2.0323265	0	0	1.157529897	0	0.358385904	0.477804968	0	0	0
53	0.586452519	1.231088461	1.974424858	3.489762273	2.134050754	0	0	1.382605155	8.571114331	1.098826352	0	0	2925.442025	2239.270753	1003.291849	2473.596319	2386.58359	661.5283364	182.7342461	39.06406349	319.6515235	124.0207943	766.6145184	100.0102585
54	1.172905038	11.07979615	9.21398267	6.979524546	6.402152262	9.045735536	0	2.76521031	5.142668599	5.494131761	2.241239028	11.89482792	2789.553833	1630.658307	997.8723114	1865.248208	1523.160967	586.867658	439.0368251	284.9167933	364.0873855	258.8013835	971.7287709	203.6407979
55	1.172905038	0	0.658141619	0	4.268101508	9.045735536	8.979979233	1.382605155	0	0	4.482478056	0	579.4477631	203.8322883	710.6368328	207.3673561	971.7230438	188.6773733	606.7409817	59.49205999	556.1649826	234.4502686	2916.895598	1860.371823
56	77.99818505	38.1637423	71.7374365	209.3857364	64.02152262	0	7417.462846	4381.475737	1557.371474	1899.870763	2543.059217	1228.140982	1.281964078	0	0	1.057996715	0	0.578764949	0	0.716771807	0.477804968	0	0	0
57	1.172905038	11.07979615	10.53026591	3.489762273	0	0	14.96663205	145.1735413	21.42778583	39.55774868	124.7623059	178.4224187	1706.294187	527.848709	694.3782208	559.680262	495.7973403	537.6726373	617.8157845	542.9546439	757.7986791	297.3101233	450.3967126	254.777265
58	1343.562721	253.604223	231.0077084	991.0924855	177.1262126	940.7564957	5313.154379	2543.993486	1263.382252	1476.822617	2131.418315	572.4385934	0	1.922946116	0	0	0	0	0	0	0	0	1.709285437	0
59	0	856.8375691	123.0724828	27363.22598	4261.699356	19032.22757	0	0	0	0	1.494159352	0	0	0	0	0	0	0	0	0.358385904	0	0	0	0
61	1.172905038	20.92850384	31.59079773	3.489762273	32.01076131	0	53.8798754	128.5822794	642.8335748	624.1333681	154.6454929	1289.101975	2031.913063	1023.007334	595.4716645	1034.720787	725.3147464	585.1313631	130.5244615	173.8171632	297.672495	116.6588293	388.8624369	89.14941598
62	0	0	1.316283239	0	2.134050754	0	0	0	12.8566715	8.790610818	0.747079676	8.921120937	3.845892233	5.768838349	2.709768666	9.521970432	7.948654755	7.523944333	27.68700699	120.0592777	128.0517314	43.03917975	140.1614058	139.3808128
63	1.172905038	370.5576269	19.08610696	635.1367337	38.41291357	307.5550082	29.93326411	55.30420621	1741.650432	1826.249397	344.4037306	7252.871321	15.38356893	15.38356893	12.193959	21.15993429	17.8844732	21.4143031	7.910573426	2.508701325	19.11219872	2.265219987	9.401069903	4.977886171
64	0	1.231088461	0.658141619	3.489762273	0	9.045735536	0	0	2.571334299	1.098826352	0	1.486853489	684.5688175	499.0045172	450.4990408	458.1125774	865.4097865	283.0160599	617.0247272	82.78714372	528.4522945	521.0005969	2670.758495	933.5799247
65	0	2.462176923	1.316283239	10.46928682	4.268101508	0	0	1.382605155	2.571334299	3.296479057	0	1.486853489	2744.68509	466.3144332	1811.480354	1067.518685	885.2814233	181.1534289	673.9808559	129.0189253	190.1663772	151.2034341	165.8006874	1034.042718
66	0	0	6.581416193	0	10.67025377	0	0	0	0.857111433	1.098826352	1.494159352	1.486853489	335.8745883	74.03342549	292.655016	509.9544164	169.9024954	85.65721241	3984.555834	574.8509893	499.7839964	828.5042101	85.46427184	418.1424384
67	0	1.231088461	0	3.489762273	0	9.045735536	8.979979233	55.30420621	2006.497865	1899.870763	53.04265699	1787.197894	25.63928155	14.42209587	37.93676133	11.63796386	108.300421	71.76685364	7.119516083	13.61866434	46.34708189	21.51958987	20.51142524	6.788026597
68	3.518715115	45.55027307	19.08610696	41.87714727	917.6418243	51533.55535	20.95328488	16.59126186	1965.356516	2027.33462	62.75469278	764.2426936	38.45892233	16.34504199	21.67814933	26.44991787	80.48012939	19.67800826	11.0748028	8.959647589	12.42292917	14.72392991	10.25571262	7.240561704
69	0	0	0	0	0	18.09147107	2.993326411	0	14.57089436	13.18591623	0	10.40797443	19.22946116	7.691784466	26.4202445	14.811954	141.0886219	86.81474231	32.43335104	53.39949963	126.1405115	88.90988448	117.9406951	67.42773087
70	29.90907848	16.00415	7.239557812	10.46928682	19.20645679	27.13720661	2.993326411	0	1.714222866	3.296479057	11.20619514	7.434267447	2015.24753	2875.765917	654.409133	874.963283	689.5458	1027.886549	215.1675972	68.81009348	281.4271261	180.0849889	256.3928155	175.1310862
71	0	2.462176923	1.974424858	0	6.402152262	0	0	0	229.7058641	216.4687914	18.6769919	55.01357911	1399.904773	793.2152731	730.2826556	643.2620025	2469.050883	1073.030215	166.1220419	116.4754187	335.8968924	139.3110292	464.0709961	108.6084256
72	1.172905038	232.6757192	400.1501045	240.7935968	277.426598	63.32014875	0	2.76521031	96.85359194	104.3885035	15.68867319	63.93470005	1631.940271	1349.908174	599.5363175	1385.975696	1515.212313	534.2000477	140.0171496	49.09886879	222.657115	86.07835949	571.7559786	89.60195108
73	126.0872916	35.70156538	3.948849716	3.489762273	2.134050754	0	14.96663205	8.295630931	64.28335748	76.91784466	14.94159352	32.71077677	1497.334043	969.1648427	637.4730788	475.0405249	1281.720579	405.714229	136.8529203	89.9548618	486.4054573	109.8631694	890.5377126	112.6812415
74	0	1.231088461	1.316283239	0	0	0	2.993326411	0	1.714222866	0	0	1.486853489	955.0632379	617.2657034	756.7029001	607.2901142	968.7422983	232.0847444	917.6265174	345.1256251	447.7032549	352.2417079	1238.377299	546.6624086
75	437.4935793	262.2218423	244.1705408	411.7919482	200.6007709	45.22867768	3511.17188	3275.391613	953.1079136	1032.896771	1586.050152	856.4276099	60.25231165	74.99489854	39.29164566	167.1634809	40.73685562	66.5579691	29.26912167	39.06406349	26.7570782	29.44785983	41.02285049	38.01294894
76	0	6.155442307	4.606991335	6.979524546	8.536203017	0	5.986652822	9.678236087	29.99890016	25.2730061	0.747079676	4.460560468	1922.946116	181.718408	356.3345796	141.7715598	859.4482954	129.0645836	689.0109454	859.0510108	404.2230028	249.1741985	353.8220854	684.233081
77	3.518715115	99.71816537	6.581416193	45.36690955	55.48531961	108.5488264	14.96663205	1.382605155	8.571114331	4.395305409	9.712035787	19.32909536	152.5537252	122.1070784	117.1974948	325.8629881	127.1784761	206.6190867	400.2750153	1586.932781	342.586162	789.4291654	82.04570097	558.8808565
78	260.971371	11.07979615	10.53026591	258.2424082	2.134050754	0	2622.153936	1085.345047	2123.06502	2662.456252	1645.816526	1592.420087	1.281964078	1.922946116	0	0	0	0	0.791057343	0.716771807	0	0	0	0
79	0	12.31088461	87.53283536	7482.050313	2889.504721	60344.10176	0	4.147815466	0.857111433	1.098826352	2.241239028	22.30280234	0	0	0	0	0	0	0	0	0	0.566304997	0	0
81	52.78072673	66.47877691	36.85593068	38.387385	29.87671056	9.045735536	26.9399377	6.913025776	5.142668599	7.691784466	5.976637407	7.434267447	1315.295144	807.6373689	1145.554704	796.6715261	1098.90152	417.289528	177.1968447	68.09332168	331.5966477	118.3577443	1352.899423	139.8333479
82	0.586452519	8.617619229	2.632566477	0	0	0	23.94661129	87.10412478	1402.234305	1354.852892	67.23717083	234.9228513	2035.758955	336.5155704	516.210931	752.2356641	743.1992196	218.7731506	64.07564475	191.7364584	299.1059099	61.16093964	214.5153223	78.28857342
83	127.2601967	19.69741538	129.653899	1235.375845	29.87671056	36.18294214	4711.495771	2191.429171	1189.670669	1424.078953	1943.901317	1300.996803	1.281964078	0	0	0	0	0	0	1.791929518	0.955609936	1.132609993	0.854642718	0
84	0	4.924353845	1.316283239	0	0	18.09147107	0	6.913025776	63.42624605	48.3483595	8.964956111	68.39526051	2401.118717	1552.778989	419.3367011	884.4852534	1245.951633	447.9640703	66.44881677	47.30693927	275.6934665	29.44785983	1046.082687	72.85815214
85	1404.553783	3243.918096	2558.854616	750.2988887	1434.082107	153.7775041	26.9399377	13.82605155	0.857111433	1.098826352	4.482478056	1.486853489	0	0	0	4.231986859	0.993581844	0	0	0	0.477804968	0	0	0.452535106
86	269.7681588	179.7389154	102.6700926	3803.840877	1939.852136	40968.13624	380.1524542	519.8595384	283.7038844	350.5256064	456.465682	838.585368	1.281964078	0	0	0	0.993581844	0.578764949	0	0.716771807	2.389024839	1.132609993	0	0.452535106
87	2.345810077	1.231088461	0	0	0	18.09147107	5905.833009	641.528792	887.1103333	1215.301946	3414.154119	691.3868726	0	0	0	0	0	4.051354641	1.582114685	9.318033493	0.477804968	1.132609993	1.709285437	0.452535106
88	83.27625773	17.23523846	26.98380639	1908.899963	29.87671056	189.9604463	3131.019426	1487.683147	1149.386432	1404.300078	2245.721506	1656.354787	0	0	0	0	0	0	0	1.433543614	0.477804968	0	0	0
89	479.7181607	690.6406268	513.350463	1605.290646	2671.831544	2080.519173	1891.782292	1649.44795	684.8320351	862.5786865	957.7561445	669.0840702	2.563928155	0.961473058	3.387210833	1.057996715	0.993581844	3.472589692	4.746344055	92.82194902	2.389024839	9.060879947	5.127856311	10.40830745
90	0	4.924353845	1.316283239	0	2.134050754	0	0	1.382605155	0.857111433	0	0.747079676	1.486853489	674.3131049	105.7620364	289.9452473	77.23376017	2000.080253	112.2804	278.4521846	81.35360011	829.9472292	91.74140946	1406.741915	99.55772343
91	55.12653681	146.4995269	77.66071107	55.83619637	588.9980081	913.6192891	53.8798754	13.82605155	10.2853372	23.0753534	21.6653106	11.89482792	976.8566272	576.8838349	768.8968591	924.6891286	866.4033683	489.0563817	246.8098909	144.787905	301.4949347	245.7763686	587.9941903	149.7891202
92	2206.234377	2166.715692	1992.852823	589.7698241	603.9363634	153.7775041	329.2659052	120.2866485	38.57001449	43.95305409	111.3148717	26.76336281	0	0	0	1.057996715	0	0	0	1.433543614	0	0	0	0
93	0	0	5.265132954	0	0	9.045735536	0	1.382605155	359.1296905	343.9326483	24.65362931	680.9788982	16.66553301	14.42209587	75.1960805	8.463973717	249.3890429	155.1090063	51.41872727	50.1740265	121.8402668	179.5186839	102.5571262	114.4913819
94	2.932262596	2.462176923	9.21398267	3.489762273	2.134050754	0	0	2.76521031	22.28489726	26.37183245	0.747079676	5.947413958	873.0175369	623.9960148	547.3732706	1418.773594	824.6729308	395.8752249	245.2277762	208.9389818	282.860541	183.4828189	412.792433	223.5523426
95	0	4.924353845	2.632566477	0	2.134050754	0	0	0	1.714222866	2.197652705	2.241239028	0	1740.907217	1023.007334	357.689464	897.181214	1224.092832	424.8134723	247.6009482	134.7530997	329.6854278	164.794754	475.1813515	163.3651734
96	8.210335269	20.92850384	19.74424858	2065.939266	1466.092868	30927.3698	766.2915612	662.2678694	549.4084286	601.0580147	877.0715395	1498.748317	0	0	0	0	0	0	0	0.358385904	0	0	0	0
97	4.105167634	4.924353845	6.581416193	0	2.134050754	0	17.95995847	1.382605155	0.857111433	0	1.494159352	0	11.5376767	34.6130301	708.6045063	15.86995072	129.1656398	21.4143031	81.47890628	68.45170758	877.727726	58.89571965	3206.61948	42.99083512
98	0	2.462176923	1.974424858	0	0	9.045735536	0	0	0.857111433	0	0.747079676	1.486853489	56.40641942	69.22606019	703.184969	338.5589487	126.1848942	19.67800826	33.22440839	32.97150313	376.5103147	20.38697988	1703.302938	23.98436064
99	425.1780764	536.7545691	950.3564982	160.5290646	375.5929327	262.3263305	3113.059467	1439.291967	705.4027094	870.270471	1282.735804	496.6090655	0	2.884419175	0	8.463973717	0.993581844	1.157529897	0	2.867087229	0.477804968	1.69891499	1.709285437	0
100	1583.421802	1003.337096	684.467284	394.3431368	162.1878573	27.13720661	1400.87676	315.2339754	39.42712592	51.64483856	433.306212	93.67176983	523.0413437	346.130301	126.004243	96.27770103	199.7099507	156.8453011	27.68700699	40.85599301	107.9839227	59.46202465	122.2139087	25.34196596
101	11.14259786	2.462176923	10.53026591	3.489762273	4.268101508	18.09147107	20.95328488	1.382605155	27.42756586	34.06361692	14.94159352	31.22392328	299.9795942	295.1722289	343.4631785	347.0229224	446.1182481	162.6329506	255.5115216	177.4010223	348.7976266	211.7980688	818.7477243	913.2158449
102	360.0818468	19.69741538	259.9659396	24.42833591	44.81506584	135.686033	511.8588163	211.5385888	477.4110682	649.4063742	405.664264	356.8448375	266.6485282	189.4101925	116.5200527	125.901609	137.1142945	89.1298021	184.3163608	483.104198	118.973437	178.386074	121.359266	419.5000437
103	338.9695561	153.8860577	215.8704511	282.6707441	110.9706392	9.045735536	3678.798159	2707.140894	759.4007297	995.5366752	1222.96943	628.939026	0	0	0	0	0	0	0	0.358385904	0	0	0	0
104	0	27.08394615	33.56522258	8026.453228	166.4559588	4043.443785	11.97330564	300.0253187	715.6880466	786.7596682	194.9877954	3773.634156	20.51142524	14.42209587	16.258612	24.33392444	20.86521873	10.41776908	28.47806433	25.80378506	13.85634407	13.02501492	22.22071068	24.88943086
105	909.5878573	1035.345396	729.8790558	1005.051535	657.2876323	551.7898677	3316.605663	1207.014301	200.5640753	243.9394502	863.6241054	138.2773745	2.563928155	0.961473058	0.677442167	3.173990144	1.987163689	0	0.791057343	2.508701325	0	1.132609993	0.854642718	0.452535106
