#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
3580	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	3	25	20	67	5
3581	0	0	0	0	0	0	5	0	2	3	0	0	1	1	0	0	0	0	45	29	0	1	40	4
3582	0	1	0	0	0	0	31	63	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1
3583	0	0	0	0	0	0	1	65	14	10	32	3	0	0	0	0	0	0	1	1	1	2	0	2
3584	0	0	1	0	0	0	0	0	0	0	0	0	14	17	48	6	36	10	0	0	0	0	0	0
3586	0	0	0	0	0	0	0	4	5	7	77	38	0	0	0	0	0	0	0	0	0	0	0	0
3588	5	6	13	7	12	12	0	0	0	0	0	0	5	9	23	6	14	3	0	1	1	0	1	1
3589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	4	15	95
3590	0	0	0	0	0	0	0	0	0	127	0	2	0	0	0	0	0	0	0	0	0	0	0	3
3592	0	0	0	0	0	0	47	37	13	0	32	3	0	0	0	0	0	0	0	0	0	0	0	0
3593	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	46	28	7	5	36	5
3594	0	0	0	0	0	0	1	100	6	2	19	4	0	0	0	0	0	0	0	0	0	0	0	0
3595	0	0	0	0	0	0	18	94	17	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3597	0	0	0	0	0	0	0	0	0	11	1	1	0	0	0	0	0	0	2	6	19	16	40	35
3599	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	13	37	16	8	35	20
3600	0	0	0	0	0	0	13	24	91	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3601	0	0	0	0	0	0	15	35	31	4	41	4	0	0	0	0	0	0	0	0	0	0	1	0
3602	0	0	0	0	0	0	0	1	2	113	0	0	0	0	0	0	0	0	0	4	1	2	3	5
3603	3	0	0	0	3	4	0	0	0	0	0	0	0	1	1	2	2	0	0	0	59	38	2	15
3604	0	0	5	3	0	4	36	3	26	3	2	0	8	3	8	4	7	8	1	0	1	0	1	0
3605	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	21	33	22	10	39
3606	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24	6	31	20	44	5
3607	0	0	0	0	0	0	0	7	46	14	61	3	0	0	0	0	0	0	0	0	0	0	0	0
3609	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	28	17	18	15	48	3
3610	0	0	0	0	0	0	0	0	4	5	9	2	0	1	0	0	0	0	1	11	9	9	13	64
