#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
0	24128	24758	10778	18826	20138	19536	7	32	36	6	20	1	2986	1557	4138	2869	6216	2647	2	3	25	19	6	12
1	9613	10923	11623	10951	8231	13487	245	114	199	47	80	5	13999	8487	9269	13666	7215	8311	25	35	61	57	76	43
2	4	1	2	5	10	7	0	1	1	1	1	0	117	716	917	387	543	2300	0	1	1	1	0	0
3	11515	14334	8910	8200	12724	11612	1376	144	312	13	31	3	2036	2213	11276	2710	13781	2163	43	17	25	31	60	34
4	11125	9550	9268	9397	11739	10844	3	42	90	15	31	5	4306	4525	7136	5572	8161	5506	2	11	20	23	17	18
5	1	4	5	2	2	2	3528	887	1759	702	257	21	2	69	2	7	4	3	14222	11989	15075	14451	18392	5883
6	7645	8021	7278	7189	9518	4787	24	22	24	6	5	3	2900	3065	8892	3227	8398	3472	0	1	9	10	8	8
7	7754	6314	5566	6255	5067	10352	234	34	124	18	22	9	3538	3471	6161	5753	4559	5637	22	23	13	15	70	34
8	2	2	6	9	11	387	13	7	17	24	5	1	44407	8751	474	4549	19	6113	32	76	368	306	85	128
9	26	8	21	11	35	6	3	3	0	1	0	0	2	22	22	11	20	5	0	0	2	0	0	3
10	6412	10143	4793	3061	3590	4697	644	9	35	2	2	5	2563	1407	4537	2043	3143	10311	6	2	8	6	19	8
11	8418	16437	4535	14332	4925	4029	3	24	6	7	2	2	61	76	155	5352	50	912	0	2	5	3	8	5
12	3378	3387	5383	3627	2311	2249	3	7	17	6	6	0	4038	3052	3030	1641	11367	7463	1	13	30	18	4	6
13	7673	10810	3943	4670	1982	1976	62	13	18	6	1	0	2603	753	1185	2953	884	3441	0	3	15	18	7	12
14	7579	5191	2842	3934	5921	4810	38	33	48	10	11	2	1385	752	2131	1579	2018	1605	28	13	25	27	27	8
15	34	30	54	9	41	9	0	1	0	0	1	1	10	5	33	2	23	6	0	0	0	0	2	1
16	2	0	0	0	2	4	3502	449	1365	406	148	8	0	42	3	3	2	4	6184	5253	4881	4653	8516	2063
17	2148	3606	5235	1557	2191	1615	6775	42	14	1	10	0	985	388	2644	1003	3114	3154	0	0	1	3	0	2
18	13	19	88	23	21	11	113	30	112	41	18	0	27	67	1612	64	7053	95	901	394	248	254	2384	137
19	1853	2062	1681	2402	2560	2348	0	7	10	1	1	0	4721	2983	2598	3075	2912	4499	1	3	102	58	17	2
20	1362	165	11907	203	6200	5647	3	8	10	3	3	0	642	1170	1873	1367	424	849	4	16	275	203	46	379
21	1	1	1	0	0	1	1181	227	458	413	149	20	1	2	1	0	3	0	6911	6063	4032	3956	7797	1112
22	0	1	1	1	0	1	87	9	185	2616	93	342	0	3	1	0	1	0	1281	2997	5527	4903	7377	5927
23	4	8	1	9	0	15	788	29	34	39	17	4	4	44	5	8	0	21	2217	2580	3280	3312	14336	3957
25	1	0	0	1	0	3	1663	3599	4858	280	10698	8301	4	7	1	4	0	6	9	6	9	5	13	2
26	1	3	0	1	0	1	1113	137	253	249	44	5	0	3	1	0	1	0	5119	6401	3318	3150	7655	1914
27	2697	3215	1355	2977	3083	2245	3	3	4	1	0	1	1597	1590	1726	1024	1574	1677	0	0	2	4	3	7
28	2	4	1	0	1	2	1151	95	196	246	42	22	0	0	0	1	1	1	5466	7492	2670	2666	5408	1470
29	1	1	0	2	3	0	1	0	0	1	1	0	1	2	7	9	0	5	15	640	165	140	155	25388
30	3	9	6	8	11	18	1	1	2	0	0	0	3	4	70	4	3	5	12	79	3395	2664	230	3326
31	5887	2575	1159	937	1585	1949	115	62	34	5	13	0	401	1154	1249	523	1061	500	276	110	154	131	813	130
32	131	116	940	1421	85	1072	116	60	91	11	14	4	1648	3520	741	4291	267	7162	15	31	37	34	61	17
33	572	302	703	93	1593	177	309	12	70	16	5	18	387	337	2727	295	3019	1969	62	60	217	172	224	125
34	353	300	1326	1001	324	892	379	186	204	43	130	9	2328	2995	873	2892	768	5196	29	61	49	44	177	31
35	2119	2466	1658	1372	1579	753	0	2	2	1	0	0	670	282	1211	1076	5135	1800	1	0	1	4	5	7
37	3	4	9	9	5	10	36	240	137	6286	995	153	14	19	30	33	4	20	27	819	583	533	1828	5283
38	2445	2008	961	2122	1430	3856	0	13	7	13	3	0	800	1729	375	1331	40	243	1	6	232	173	15	48
40	2431	2384	1777	2094	1592	1183	0	4	3	2	1	0	1255	480	472	2634	659	1200	0	1	2	2	0	1
41	29	12	245	8	103	343	0	2	5	2	3	0	540	3223	1401	983	905	1857	1	2	11	13	1	11
42	1518	1479	1457	2144	1574	1566	1	10	28	2	7	0	1580	1301	814	1656	960	1771	1	1	41	27	6	24
43	2022	4142	3518	5149	630	726	0	3	0	0	1	1	372	156	325	452	224	347	0	0	4	1	0	2
44	872	724	920	1064	537	593	0	1	2	2	0	1	5070	471	382	1611	2766	2135	0	0	3	2	0	1
45	4072	1724	1143	2164	1643	1307	0	7	1	4	1	3	2240	1195	350	1095	93	525	2	1	5	2	0	1
46	0	0	1	0	0	1	534	73	138	75	54	4	1	1	2	0	1	1	3036	4372	1828	1913	4129	1162
47	35	33	262	70	79	122	0	1	19	9	12	14	322	2221	1686	131	3121	721	290	91	481	443	217	78
48	1082	1602	2909	595	1577	507	1	2	2	5	0	9	317	409	1544	545	2131	563	14	45	55	47	245	67
49	0	1	1	0	0	1	476	39	183	609	430	651	1	5	1	0	0	0	1958	2080	2387	2329	4083	1133
50	0	0	0	0	0	1	1	0	9	1365	4	3	1	1	82	1	5	4	21	1338	1521	1301	1934	5195
51	0	1	1	0	1	2	0	23	0	2	117	274	2	3	13	9	2	4	67	3706	790	724	459	2753
52	2	1	3	0	0	2	487	92	256	89	46	3	0	1	1	0	0	0	2563	3558	1737	1774	3481	795
53	2282	2329	1481	2338	2402	1143	1	1	3	1	1	0	231	109	669	219	897	221	0	1	10	1	0	0
54	2176	1696	1473	1763	1533	1014	2	9	14	2	3	1	555	795	762	457	1137	450	0	2	6	5	3	8
55	452	212	1049	196	978	326	2	0	1	0	2	1	767	166	1164	414	3413	4111	3	1	0	0	6	0
56	1	0	0	1	0	1	133	31	109	60	30	0	0	2	1	0	0	0	2478	3169	1817	1729	3404	826
57	1331	549	1025	529	499	929	2	9	16	1	0	0	781	1515	1586	525	527	563	5	105	25	36	167	120
58	0	2	0	0	0	0	2291	206	351	284	83	104	0	0	0	0	2	0	1775	1840	1474	1344	2853	385
59	0	0	0	0	0	0	0	696	187	7841	1997	2104	0	1	0	0	0	0	0	0	0	0	2	0
61	1585	1064	879	978	730	1011	2	17	48	1	15	0	165	485	623	206	455	197	18	93	750	568	207	867
62	3	6	4	9	8	13	0	0	2	0	1	0	35	335	268	76	164	308	0	0	15	8	1	6
63	12	16	18	20	18	37	2	301	29	182	18	34	10	7	40	4	11	11	10	40	2032	1662	461	4878
64	534	519	665	433	871	489	0	1	1	1	0	1	780	231	1106	920	3125	2063	0	0	3	1	0	1
65	2141	485	2674	1009	891	313	0	2	2	3	2	0	852	360	398	267	194	2285	0	1	3	3	0	1
66	262	77	432	482	171	148	0	0	10	0	5	0	5037	1604	1046	1463	100	924	0	0	1	1	2	1
67	20	15	56	11	109	124	0	1	0	1	0	1	9	38	97	38	24	15	3	40	2341	1729	71	1202
68	30	17	32	25	81	34	6	37	29	12	430	5697	14	25	26	26	12	16	7	12	2293	1845	84	514
69	15	8	39	14	142	150	0	0	0	0	0	2	41	149	264	157	138	149	1	0	17	12	0	7
70	1572	2991	966	827	694	1776	51	13	11	3	9	3	272	192	589	318	300	387	1	0	2	3	15	5
71	1092	825	1078	608	2485	1854	0	2	3	0	3	0	210	325	703	246	543	240	0	0	268	197	25	37
72	1273	1404	885	1310	1525	923	2	189	608	69	130	7	177	137	466	152	669	198	0	2	113	95	21	43
73	1168	1008	941	449	1290	701	215	29	6	1	1	0	173	251	1018	194	1042	249	5	6	75	70	20	22
74	745	642	1117	574	975	401	0	1	2	0	0	0	1160	963	937	622	1449	1208	1	0	2	0	0	1
75	47	78	58	158	41	115	746	213	371	118	94	5	37	109	56	52	48	84	1173	2369	1112	940	2123	576
76	1500	189	526	134	865	223	0	5	7	2	4	0	871	2397	846	440	414	1512	2	7	35	23	1	3
77	119	127	173	308	128	357	6	81	10	13	26	12	506	4428	717	1394	96	1235	5	1	10	4	13	13
78	1	2	0	0	0	0	445	9	16	74	1	0	1	2	0	0	0	0	876	785	2477	2423	2203	1071
79	0	0	0	0	0	0	0	10	133	2144	1354	6671	0	0	0	1	0	0	0	3	1	1	3	15
81	1026	840	1691	753	1106	721	90	54	56	11	14	1	224	190	694	209	1583	309	9	5	6	7	8	5
82	1588	350	762	711	748	378	1	7	4	0	0	0	81	535	626	108	251	173	8	63	1636	1233	90	158
83	1	0	0	0	0	0	217	16	197	354	14	4	0	5	2	2	1	0	1574	1585	1388	1296	2602	875
84	1873	1615	619	836	1254	774	0	4	2	0	0	2	84	132	577	52	1224	161	0	5	74	44	12	46
85	0	0	0	4	1	0	2395	2635	3888	215	672	17	0	0	1	0	0	1	9	10	1	1	6	1
86	1	0	0	0	1	1	460	146	156	1090	909	4529	0	2	5	2	0	1	127	376	331	319	611	564
87	0	0	0	0	0	7	4	1	0	0	0	2	2	26	1	2	2	1	1973	464	1035	1106	4570	465
88	0	0	0	0	0	0	142	14	41	547	14	21	0	4	1	0	0	0	1046	1076	1341	1278	3006	1114
89	2	1	5	1	1	6	818	561	780	460	1252	230	6	259	5	16	6	23	632	1193	799	785	1282	450
90	526	110	428	73	2013	194	0	4	2	0	1	0	352	227	1737	162	1646	220	0	1	1	0	1	1
91	762	600	1135	874	872	845	94	119	118	16	276	101	312	404	631	434	688	331	18	10	12	21	29	8
92	0	0	0	1	0	0	3762	1760	3028	169	283	17	0	4	0	0	0	0	110	87	45	40	149	18
93	13	15	111	8	251	268	0	0	8	0	0	1	65	140	255	317	120	253	0	1	419	313	33	458
94	681	649	808	1341	830	684	5	2	14	1	1	0	310	583	592	324	483	494	0	2	26	24	1	4
95	1358	1064	528	848	1232	734	0	4	4	0	1	0	313	376	690	291	556	361	0	0	2	2	3	0
96	0	0	0	0	0	0	14	17	30	592	687	3419	0	1	0	0	0	0	256	479	641	547	1174	1008
97	9	36	1046	15	130	37	7	4	10	0	1	0	103	191	1837	104	3752	95	6	1	1	0	2	0
98	44	72	1038	320	127	34	0	2	3	0	0	1	42	92	788	36	1993	53	0	0	1	0	1	1
99	0	3	0	8	1	2	725	436	1444	46	176	29	0	8	1	3	2	0	1040	1041	823	792	1717	334
100	408	360	186	91	201	271	2700	815	1040	113	76	3	35	114	226	105	143	56	468	228	46	47	580	63
101	234	307	507	328	449	281	19	2	16	1	2	2	323	495	730	374	958	2018	7	1	32	31	20	21
102	208	197	172	119	138	154	614	16	395	7	21	15	233	1348	249	315	142	927	171	153	557	591	543	240
103	0	0	0	0	0	0	578	125	328	81	52	1	0	1	0	0	0	0	1229	1958	886	906	1637	423
104	16	15	24	23	21	18	0	22	51	2300	78	447	36	72	29	23	26	55	4	217	835	716	261	2538
105	2	1	1	3	2	0	1551	841	1109	288	308	61	1	7	0	2	1	1	1108	873	234	222	1156	93
106	0	1	3	4	1	1	177	29	102	81	22	4	0	12	0	0	0	5	988	2249	1060	986	1426	660
107	194	295	540	127	207	69	0	0	1	0	0	0	94	103	1561	34	3060	336	1	4	82	49	180	19
108	0	0	0	0	0	0	1	0	0	1	29	7733	0	1	0	0	0	0	0	0	1	2	2	0
109	1	1	1	2	0	0	0	9	1	0	0	0	2	3	11	6	3	0	8	61	386	312	60	774
110	4	2	122	17	54	71	2	2	9	21	2	115	81	624	282	54	180	134	356	254	922	934	1351	1062
111	5	1	0	0	0	0	0	0	0	0	2	7627	0	0	8	0	5	0	1	0	0	0	0	0
112	46	80	897	430	110	37	1	0	0	0	0	0	63	142	1416	58	2970	104	0	0	1	0	0	0
113	265	174	292	563	510	131	0	1	0	0	0	1	584	366	401	250	366	3669	1	0	1	0	0	1
114	3	3	1	0	0	0	4439	517	1964	86	153	24	2	6	2	7	0	3	36	22	48	45	169	27
115	20	19	11	7	20	16	0	29	101	4	582	16	2	28	26	6	12	4	1	14	52	48	3	112
117	0	0	0	0	0	0	0	0	21	4212	55	90	0	0	0	0	0	0	16	340	22	18	367	2255
118	1232	1025	305	415	1193	634	53	5	12	0	12	1	126	369	488	205	333	181	39	9	20	22	64	11
119	961	755	763	617	734	1172	60	30	45	10	22	26	305	109	468	326	322	203	2	7	10	9	14	4
120	0	0	0	0	0	3	0	22	4	331	22	21	1	1	12	18	0	1	5	471	612	456	159	3470
121	357	743	380	876	360	151	1	3	3	0	0	1	199	141	929	135	1741	380	0	0	0	1	1	4
122	3	6	35	4	20	24	1	0	1	0	0	1	36	40	1427	35	3758	220	0	0	6	7	1	0
123	0	0	1	0	1	4	132	6	60	176	20	7	1	3	3	1	3	2	1452	2871	211	206	1543	294
124	1	0	1	1	0	0	381	175	313	42	45	1	0	6	0	0	1	0	1086	1216	691	752	1689	303
125	0	0	1	0	4	1	1	6	5	80	35	42	1	0	16	1	2	0	10	154	488	368	326	1527
126	61	69	905	62	183	59	0	0	2	1	0	0	91	86	974	75	2652	767	0	0	6	9	7	0
127	0	0	0	0	1	0	1396	136	3501	34	158	285	0	1	0	0	0	0	270	168	117	100	362	52
128	0	0	6	32	2	209	0	0	0	0	0	0	253	949	294	2684	11	1834	0	0	0	0	0	1
129	22	13	160	58	100	75	6	4	12	0	14	0	35	110	81	18	25	8	61	97	27	21	70	22
130	0	0	0	0	0	0	4	0	66	445	2261	3024	1	0	0	0	0	0	69	63	50	52	226	234
131	39	93	1867	175	69	33	5	1	1	1	0	0	136	111	653	59	2667	85	1	0	2	0	6	3
132	0	0	6	1	8	4	0	0	2	0	0	0	3	12	695	11	677	16	1	0	1	0	4	5
133	4	5	0	11	4	14	4740	850	426	57	140	18	4	3	4	6	0	5	19	10	7	3	22	0
134	486	790	399	839	278	254	5	0	1	0	1	0	201	265	469	270	838	712	0	1	3	4	10	11
135	140	106	326	80	282	919	12	3	16	3	3	1	339	545	544	1119	394	1133	2	6	29	26	13	35
136	0	0	0	2	0	0	3285	935	1779	119	143	1	0	1	0	0	1	0	0	0	0	0	2	0
137	1	3	1	9	0	24	10	2	8	0	0	0	165	501	27	902	4	4249	25	18	112	91	66	14
138	0	0	0	0	0	0	164	994	547	97	2132	2047	0	1	0	2	0	0	59	20	9	11	88	4
139	143	175	427	123	275	65	59	2	20	1	6	2	87	121	1052	50	1532	186	60	9	44	28	28	1
140	0	0	0	0	0	0	0	67	66	1323	2320	2082	0	1	0	0	0	0	0	1	1	1	1	1
141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	28	5	6	18	82
142	186	161	784	290	787	589	0	0	2	2	0	0	317	321	626	428	801	229	0	0	1	3	1	2
143	493	786	1897	1982	334	301	0	2	0	0	0	0	31	13	28	126	21	31	0	0	0	2	0	7
145	807	755	568	376	450	823	20	3	16	13	5	2	153	277	397	214	318	271	1	4	5	9	5	9
146	784	663	573	823	545	398	0	11	1	1	1	0	512	553	122	361	96	166	0	1	12	11	1	1
147	103	105	167	87	307	473	0	1	9	0	2	0	98	208	268	542	180	271	0	0	2	0	3	2
148	0	0	0	1	0	0	0	18	0	0	1	4	0	8	5	36	0	1	12	717	283	219	156	3390
149	122	84	257	61	206	138	0	0	1	0	0	0	263	89	745	21	2788	202	0	0	1	0	0	0
150	0	0	0	0	0	0	28	5	17	27	4	0	0	1	0	0	0	0	1906	1305	547	550	1130	172
151	270	55	343	205	262	249	1	2	2	2	0	2	1135	942	524	692	145	800	0	0	0	0	0	1
152	0	0	0	0	0	0	15	78	7	42	635	4075	0	1	0	0	0	0	43	21	189	199	244	10
153	0	0	0	0	0	0	398	763	1304	218	2088	76	0	0	0	0	0	1	149	130	54	52	249	39
154	1	0	0	0	0	0	135	18	35	16	11	0	0	1	0	0	0	0	809	722	794	791	1798	360
155	4	1	5	3	12	24	0	0	3	1	0	0	18	76	91	299	89	241	0	0	31	29	0	22
156	1040	91	92	56	1387	83	0	1	2	0	0	1	343	389	840	124	365	360	0	0	0	0	0	0
157	336	68	230	45	143	66	0	0	2	1	1	0	694	403	698	479	107	2087	0	0	0	0	0	0
158	0	0	0	0	0	0	278	59	100	15	31	1	0	0	0	0	0	0	649	1596	532	448	1169	442
159	0	0	1	0	0	0	572	1286	2404	215	580	5	0	0	0	0	0	0	39	75	38	28	53	16
160	10	6	7	7	6	11	3	5	28	699	173	734	5	31	1	9	2	2	85	312	697	662	1018	770
161	0	0	0	1	0	0	0	366	57	539	1375	2132	3	5	4	2	0	0	5	36	1	3	4	9
162	0	0	0	2	0	0	50	1128	656	796	1764	882	0	0	0	0	0	0	3	2	0	1	5	0
163	13	26	102	315	21	316	15	17	17	4	5	1	535	1312	170	1076	25	1246	1	1	3	1	2	2
164	10	15	10	5	11	11	411	295	369	84	85	8	4	35	22	4	15	4	645	842	657	600	896	191
165	15	8	90	12	275	290	1	1	3	0	0	0	66	76	282	268	99	204	0	1	22	19	2	25
166	245	205	287	295	1126	244	7	15	41	0	4	0	278	121	121	72	198	83	1	8	148	133	5	23
168	7	2	14	11	21	11	281	37	62	207	20	5	5	17	36	7	34	15	521	290	877	866	1348	376
169	31	15	15	11	55	27	790	1174	730	61	120	6	14	14	36	14	41	8	499	339	224	194	596	49
170	1	0	0	1	0	0	58	16	30	62	767	2116	0	0	0	0	0	0	126	106	204	194	1296	168
171	8	6	3	2	5	3	0	0	1	0	0	1	19	23	7	10	14	22	0	0	0	0	0	1
172	19	38	18	13	37	31	1	0	0	0	0	0	21	94	104	46	58	55	0	0	0	2	0	2
173	1	0	0	0	0	0	0	4	43	2455	305	2067	1	0	0	0	0	0	1	21	2	1	75	56
174	66	60	47	216	222	288	0	3	1	0	0	1	1207	2461	221	126	9	27	0	0	8	11	1	1
175	0	1	1	0	0	0	3	309	160	243	2656	854	0	0	0	0	0	0	0	2	0	2	0	1
176	0	0	0	0	0	0	1	0	1	6	0	1	0	0	0	0	0	0	1311	361	1076	1098	1044	60
177	205	139	109	149	235	244	5	2	16	1	0	0	1676	341	93	562	103	963	1	0	3	4	1	1
178	0	1	0	0	0	1	0	3056	17	50	32	118	2	15	8	36	0	2	8	143	14	15	30	5
179	0	0	0	0	0	0	0	101	26	374	983	3408	0	0	1	0	0	0	2	0	0	0	1	0
180	521	418	289	407	344	517	1	1	1	0	1	0	364	296	186	573	63	621	0	0	0	0	1	3
181	446	635	761	1557	99	199	0	0	0	1	0	1	137	63	34	380	37	353	0	0	0	1	0	3
182	0	0	0	1	0	0	0	0	44	3533	27	264	0	3	0	1	0	0	11	203	13	16	435	221
183	0	0	0	0	0	0	6	53	479	9	4275	8	0	0	0	0	0	0	0	0	1	2	0	0
184	104	13	285	50	277	133	0	1	3	5	0	1	221	1128	807	174	629	255	2	19	74	59	5	4
185	517	192	1771	40	455	212	1	0	0	0	0	0	107	102	347	59	413	328	0	0	0	0	0	0
186	10	8	56	54	22	205	0	1	2	2	0	1	2154	841	121	795	82	296	0	2	46	43	13	37
187	0	0	0	0	0	0	0	157	19	1079	1957	1591	0	0	1	0	0	0	0	0	0	0	0	0
188	32	5	26	29	16	30	0	1	6	0	1	0	680	2586	648	242	42	353	0	0	1	1	0	0
189	54	27	50	50	155	37	0	1	4	1	0	0	56	663	242	91	175	116	0	0	36	18	3	3
190	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	412	50	1311	1339	1581	53
191	0	0	0	1	0	0	0	37	25	2043	365	2251	0	1	0	0	0	0	0	0	0	1	7	10
192	0	0	0	0	0	1	238	24	41	30	12	3	0	0	1	0	1	0	464	1510	502	531	847	531
193	0	0	0	0	0	0	65	1	6	46	1	1	0	0	0	0	0	0	744	955	552	552	1569	240
194	652	171	242	135	856	587	0	0	1	1	0	0	612	132	267	400	121	391	0	1	0	0	0	1
195	1	2	2	1	0	7	416	134	172	59	62	10	0	32	3	2	6	5	420	1390	337	307	918	413
196	0	0	0	0	0	1	2	0	12	35	2	0	0	0	0	0	0	0	426	376	940	863	1594	428
197	0	0	0	0	0	0	0	1	0	13	1	14	0	0	4	0	0	0	3	99	450	351	86	788
198	0	0	0	0	0	0	211	21	29	43	10	0	0	0	0	0	0	0	915	1404	267	298	1229	197
199	1	3	11	7	4	50	3	1	2	0	2	0	1529	486	60	748	2	1605	4	3	2	2	6	4
200	34	63	135	65	82	307	9	3	6	1	0	0	141	1004	219	201	65	186	3	16	709	595	67	478
201	0	0	0	2	0	0	0	4	37	4292	25	194	0	0	0	0	0	0	0	0	0	0	3	0
202	4	2	26	0	9	38	0	0	1	0	0	0	5	6	41	12	7	3	2	189	1668	1353	19	388
204	0	0	1	0	0	1	0	543	0	229	62	638	1	3	4	15	0	3	7	156	75	56	43	1063
205	280	83	475	124	184	102	0	1	3	0	0	0	518	156	540	73	205	1663	0	1	23	14	1	3
206	718	390	115	102	923	89	9	0	0	0	0	0	59	106	443	204	239	210	0	0	0	1	0	0
207	1	7	1	1	0	2	244	6	115	21	13	6	7	123	6	21	3	39	191	204	1331	1316	558	218
208	291	154	674	274	582	518	1	1	0	1	1	0	68	87	212	163	39	87	4	6	61	54	823	225
209	0	0	0	2	0	0	1168	933	1967	34	289	1	0	0	0	0	0	0	0	0	2	3	3	1
210	352	184	297	325	329	335	0	0	0	0	0	0	685	625	193	382	138	459	0	1	2	5	0	2
211	361	293	268	395	417	245	13	7	14	2	4	0	400	332	247	294	277	563	2	6	1	3	8	1
212	0	1	0	1	0	0	67	13	22	19	12	7	0	0	0	0	0	0	524	477	887	800	1224	320
213	287	258	282	242	394	271	0	1	3	2	0	0	335	761	377	182	277	258	0	1	21	12	3	7
214	0	0	0	0	0	0	15	4157	12	7	4	0	1	1	1	0	0	0	20	31	11	8	61	10
215	350	343	602	453	220	640	19	8	33	3	2	0	220	145	333	239	182	195	0	1	2	6	1	4
216	0	0	0	0	0	0	0	216	31	1005	431	1963	0	0	0	1	0	0	2	87	5	3	18	160
217	257	142	634	113	526	796	0	1	2	0	1	0	181	358	443	265	214	166	0	1	8	6	2	26
218	0	0	1	0	0	0	156	143	73	485	592	2099	1	0	5	0	9	11	28	75	83	62	135	222
219	2	0	0	0	0	0	1	22	77	207	1332	2602	0	0	0	0	0	0	0	0	0	0	0	0
220	20	19	74	19	39	47	2	0	0	0	1	1	79	323	681	58	1522	201	0	2	33	23	2	5
221	0	0	24	2	8	46	3	118	4	1483	3	2	23	185	416	353	8	24	16	306	74	63	365	518
222	22	46	174	161	17	81	1447	368	824	30	67	6	59	75	124	104	192	267	19	36	20	16	25	15
223	1	0	0	0	0	0	11	0	16	8	1	7	0	11	0	0	0	0	586	309	795	743	1641	105
224	0	0	0	0	0	0	5	5	17	3109	80	584	0	2	0	0	0	0	15	188	42	38	59	65
225	64	122	189	317	74	98	455	520	1018	30	409	27	38	64	97	53	155	102	8	3	20	12	15	17
226	1	0	1	0	0	0	0	1	3	0	0	0	2	0	0	1	0	0	0	0	1	1	5	90
227	0	0	0	0	0	0	4	394	290	502	1682	1192	0	0	0	0	0	0	0	1	1	1	2	1
228	0	0	0	2	0	0	827	1391	1198	84	450	20	0	1	0	0	0	0	16	14	8	5	28	2
229	0	0	0	0	0	0	0	0	36	2032	93	527	0	0	0	0	0	0	23	192	153	142	298	543
230	0	0	0	0	0	0	163	588	434	135	2176	328	0	1	0	0	0	0	46	20	6	2	108	6
232	22	16	218	71	392	148	0	1	8	2	5	0	172	286	671	175	982	130	0	0	0	1	2	2
233	31	16	403	13	437	961	2	2	4	0	0	0	164	541	288	695	91	274	1	1	2	3	10	15
234	6	3	17	5	19	44	510	811	644	121	340	13	13	156	34	51	15	13	99	335	147	119	351	116
235	609	385	429	497	648	91	0	1	0	0	0	0	250	282	160	101	136	103	0	0	5	0	0	1
237	83	143	416	527	129	101	0	0	1	0	1	0	757	195	402	226	294	653	0	0	1	0	0	4
238	0	0	1	0	0	0	781	1119	1217	112	481	58	0	1	0	0	0	1	44	28	22	8	61	17
239	494	382	337	347	282	285	0	2	0	1	3	0	205	401	137	424	103	261	0	1	5	10	6	9
240	0	0	0	1	0	0	472	1011	1836	313	186	4	0	0	0	0	0	0	8	12	3	2	95	2
241	1	0	0	0	3	1	0	0	23	1889	139	1062	1	0	0	0	0	0	2	73	95	88	150	399
242	128	54	524	62	447	855	0	2	2	1	2	0	177	109	623	362	179	308	0	0	2	3	7	1
243	0	0	1	0	0	0	999	1270	1210	146	225	3	0	1	1	0	0	2	5	19	8	5	2	3
245	37	15	423	24	376	1120	0	0	2	2	0	0	143	171	495	509	171	172	0	6	20	19	12	57
246	498	414	339	380	574	214	0	0	0	0	1	0	346	265	184	158	188	135	0	0	7	2	1	0
247	1	0	1	0	1	0	1479	1296	774	21	181	4	0	0	0	0	0	0	0	0	0	0	0	0
248	145	129	165	257	181	218	0	0	1	0	0	0	309	505	230	422	280	490	0	1	19	28	6	7
249	95	87	43	104	79	122	2	1	1	0	0	0	62	2480	55	78	55	439	0	0	0	0	1	0
250	14	17	251	52	52	217	0	0	2	1	0	0	674	286	519	640	441	389	0	0	3	0	0	0
251	557	549	355	399	233	241	0	0	2	0	2	0	264	61	88	394	274	211	0	1	0	0	0	0
252	71	73	317	234	60	167	8	0	15	0	2	0	752	160	428	323	639	319	0	0	4	3	0	2
253	0	0	0	0	0	0	0	44	18	272	451	108	0	0	0	0	0	0	2	20	3	3	1	1036
254	0	0	1	0	0	0	0	3141	16	13	186	305	0	1	0	0	1	0	0	0	1	0	0	0
255	0	0	0	0	0	0	4	0	29	1542	220	851	0	0	0	0	0	0	10	175	92	102	297	352
256	651	561	267	171	171	349	97	10	24	1	1	1	71	121	193	167	202	190	3	7	5	1	11	2
257	5	26	15	46	14	84	0	2	0	0	0	0	14	16	68	41	7	19	11	42	97	82	524	1400
258	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	603	218	794	749	1109	141
259	1	3	2	13	10	1	379	39	178	0	19	1	1	24	6	1	0	1	1183	305	182	126	1049	60
260	0	0	0	0	0	0	544	906	934	281	580	23	0	0	0	0	0	0	85	75	22	19	96	12
261	763	230	200	182	591	211	0	2	1	0	0	0	41	653	121	77	52	138	0	2	43	56	20	118
262	1	1	0	1	0	1	1580	878	816	74	120	13	0	3	1	0	0	0	9	8	1	0	26	0
263	236	83	491	191	689	247	0	4	0	0	0	0	113	241	399	52	202	134	0	0	1	0	3	1
264	1	0	0	1	0	0	1099	834	986	42	443	37	0	0	0	0	0	0	12	15	14	16	23	1
265	273	187	112	263	793	231	0	1	0	0	0	0	152	160	267	198	323	162	0	0	0	0	0	1
266	0	0	0	0	1	0	213	37	77	28	27	0	0	0	0	0	1	1	550	1001	357	351	707	163
267	0	0	0	0	0	0	0	118	9	1455	86	1151	0	0	0	0	0	0	0	4	0	0	0	4
268	460	63	158	149	417	154	0	0	0	0	0	1	34	1566	82	68	31	72	0	1	18	11	0	8
269	0	0	0	0	0	0	0	89	33	2203	632	500	0	0	0	0	0	0	0	1	0	0	0	0
270	66	159	162	77	831	82	0	0	3	0	2	0	88	245	362	318	625	135	0	0	0	0	0	0
271	0	0	0	0	0	5	66	8	17	13	4	0	0	0	0	0	0	0	700	740	349	305	1015	188
272	380	489	318	707	335	288	0	1	0	0	0	0	226	106	41	226	33	185	0	0	15	10	2	1
