#Family	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
Campylobacteraceae	223	313	228	199	92	73	11	0	2	1	0	0	92	200	183	56	522	248	2	0	5	1	1	1
CampylobacteralesOR	163	59	23	53	47	471	792	30	41	218	128	166	14	517	29	16	6	23	2251	2643	3460	3480	14788	4084
Catabacteriaceae	25	39	5	11	22	12	0	1	10	173	15	87	2	53	3	2	1	1	46	450	801	738	708	1969
Caulobacteraceae	0	0	0	0	0	0	8	26	33	0	546	10	0	0	1	1	0	1	0	0	0	0	0	0
Celerinatantimonadaceae	0	0	0	0	0	0	8	171	2	9	103	2	0	0	0	0	0	0	0	0	0	0	0	0
Cellulomonadaceae	0	3	41	20	0	5	1	153	8	14	65	122	4	23	1	12	0	4	1	22	74	52	163	158
Cenarchaeaceae	0	0	0	0	0	0	188	1303	765	189	2711	343	0	1	0	0	0	0	51	22	7	2	116	6
ChlamydialesOR	6	4	53	171	6	44	20	228	195	295	116	31	89	67	27	49	14	79	1	19	35	31	33	24
ChloracidobacteriaCL	0	0	0	0	0	0	32	86	96	18	165	165	0	0	0	0	0	0	2	8	2	2	1	1
ChlorobiPH	5	3	19	5	12	2	7	0	5	1	1	3	28	84	63	20	30	38	13	6	15	11	32	3
Chloroflexi-4CL	0	0	0	1	0	0	25	434	223	180	246	27	0	0	0	0	0	0	2	0	0	1	2	0
ChloroflexiPH	0	0	0	0	0	0	34	134	62	1456	88	1151	0	0	0	0	0	0	0	4	0	0	1	6
ChlorophytaOR	47	4	29	22	76	54	0	0	0	0	0	0	38	55	43	52	4	25	0	0	0	0	1	0
Chromatiaceae	8	3	20	11	45	23	74	562	104	236	64	638	29	172	43	124	42	27	178	255	212	168	238	1096
ChromatialesOR	290	273	888	651	637	532	5877	4745	3580	2616	5941	6582	1052	761	996	765	1167	665	7926	10011	4924	4635	11169	3428
ChroococcalesOR	0	0	1	0	9	4	0	0	0	0	0	0	4	169	26	14	3	2	0	0	1	0	1	2
Chrysiogenaceae	42	70	28	22	12	11	0	0	0	0	0	0	7	1	7	0	24	16	0	0	0	0	0	1
ClostridiaCL	1	0	1	1	0	0	0	60	12	269	179	150	0	2	3	1	1	0	6	116	243	215	284	353
Clostridiaceae	95	86	419	62	185	488	180	15	88	89	252	878	169	451	366	417	171	179	55	118	119	122	400	337
Clostridiales Family XI. Incertae Sedis	7700	10882	4762	4837	2016	2095	62	13	18	6	1	0	2631	791	1239	3005	891	3470	1	5	15	19	7	13
Clostridiales Family XII. Incertae Sedis	61	101	9	23	6	46	816	8	0	0	2	0	8	28	21	42	3	56	15	2	5	5	6	0
Clostridiales Family XIII. Incertae Sedis	493	786	1897	1982	334	301	0	2	0	0	0	0	31	13	28	126	21	31	0	0	0	2	0	7
ClostridialesOR	17693	31325	16136	19309	11841	13093	10058	126	74	39	95	149	4319	3031	8547	10048	6788	16527	166	173	366	350	581	408
Cohaesibacteraceae	160	104	377	91	265	445	28	92	342	22	22	2	107	276	275	217	235	150	1	21	53	39	23	206
CoriobacterialesOR	0	0	0	1	0	0	0	0	1	290	1	6	0	1	1	0	0	1	1	8	9	9	12	23
Corynebacteriaceae	0	0	0	0	0	3	0	0	0	0	0	0	2	57	15	23	0	0	0	2	0	0	0	0
Coxiellaceae	5	14	150	140	27	46	55	182	179	65	739	32	43	34	57	54	26	46	0	8	1	1	5	3
Cryomorphaceae	41	144	51	122	22	6	170	12	5	1	1	0	31	15	77	18	133	39	1	0	0	0	0	0
Cyclobacteriaceae	16	45	73	132	18	15	332	81	84	10	65	13	22	30	111	34	155	237	19	12	16	7	18	2
DHVE3PH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	25	28	36	7
DRC31OR	0	1	0	0	1	0	1495	1410	1657	245	533	54	0	0	1	0	0	1	508	639	270	278	740	87
DS-18OR	0	0	0	0	0	0	252	126	952	11	77	5	0	0	0	0	0	0	54	68	19	29	154	24
Deferribacteraceae	23	8	61	43	112	65	12	0	1	0	0	0	517	559	219	186	77	129	32	7	22	26	51	9
Dehalobacteriaceae	1	0	1	2	1	4	0	0	0	2	0	0	2	11	4	3	1	2	29	31	60	47	140	50
Dehalococcoidaceae	1	2	2	3	1	4	0	0	1	174	16	88	0	6	2	1	0	0	117	170	328	281	559	333
DehalococcoidetesCL	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	25	39	113	90	172	54
Deinococcaceae	538	472	590	729	304	320	891	489	108	334	749	1314	348	468	278	479	363	321	4	158	114	103	35	388
DeltaproteobacteriaCL	369	276	1087	325	646	950	320	1128	818	1942	1519	4271	247	554	653	330	448	243	872	596	656	623	1745	912
Desulfitobacteraceae	689	588	451	634	414	658	1	1	2	11	1	1	413	362	248	661	79	667	1	26	34	40	57	256
Desulfobacteraceae	2342	2445	6408	1337	3306	1818	1930	282	1060	10327	1217	5862	2379	8127	9398	1633	16029	2990	13604	16586	20272	18740	36077	17451
DesulfobacteralesOR	0	1	1	0	0	0	57	71	67	560	14	25	0	23	1	0	1	0	1887	1801	1017	989	2719	780
Desulfobulbaceae	88	139	473	127	240	702	4634	467	4954	14641	5035	12912	336	1823	1705	318	2401	468	15096	17014	9441	8965	23144	8903
Desulfohalobiaceae	3124	3253	2927	2497	2446	1489	37	81	413	29	124	7	4119	4464	4276	2458	6899	5368	3	3	171	140	44	32
Desulfonatronumaceae	2	13	69	19	7	6	0	0	0	0	0	0	4	2	7	5	56	12	0	0	0	0	0	0
Desulfovibrionaceae	473	682	798	1582	149	257	73	0	0	2	56	15444	151	96	96	392	350	405	21	25	4	7	90	12
DesulfovibrionalesOR	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	10	65	50	34	75
Desulfurellaceae	326	275	602	338	686	704	2	107	173	146	885	21	329	907	745	197	576	368	39	11	349	256	54	34
Desulfuromonadaceae	1857	570	1298	1172	1137	903	6677	4744	7480	725	11388	9477	754	5297	1818	1669	722	1590	422	275	2286	1856	1139	448
DesulfuromonadalesOR	1320	956	2237	1976	2397	1612	7203	1461	3348	1261	939	5965	582	1298	1412	723	881	840	21241	17782	22836	21491	29093	8940
Dethiosulfovibrionaceae	2431	2384	1777	2094	1592	1183	0	4	3	2	1	0	1255	480	472	2634	659	1200	0	1	2	2	0	1
E2OR	0	0	0	0	0	0	0	0	0	0	0	0	17	165	18	6	2	1	0	0	0	0	0	0
EB1017	0	0	0	0	0	1	1	179	50	105	425	184	1	0	0	1	0	0	0	3	0	0	0	0
EC214CL	3	8	4	7	7	3	3	309	161	243	2656	854	2	16	3	1	1	1	1	2	43	28	6	46
Ectothiorhodospiraceae	2020	212	264	151	345	191	757	1192	993	379	1075	107	74	284	374	131	413	127	66	877	312	239	110	357
Entotheonellaceae	0	0	0	0	0	0	63	539	296	68	297	10	0	0	0	0	0	0	1	2	1	0	0	0
EpsilonproteobacteriaCL	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	186	189	12	0
Erythrobacteraceae	139	133	412	199	149	153	779	168	491	57	104	9	184	217	287	251	483	295	115	130	73	59	378	34
Eubacteriaceae	14	16	6	4	11	16	0	0	0	0	0	0	2	9	10	66	1	17	0	0	0	0	0	0
EuryarchaeotaPH	0	0	1	0	2	3	2	2	3	13	56	142	40	48	98	9	132	32	144	62	339	365	390	52
Euzebiaceae	74	22	176	89	137	200	101	27	26	1	2	0	258	197	139	297	46	95	1	0	2	0	36	2
FFCH393CL	0	0	0	0	0	0	67	33	112	9	22	2	0	0	0	0	0	1	112	76	48	52	156	15
FirmicutesPH	3	3	11	9	3	18	1	0	0	0	0	0	4	44	7	12	2	12	2	0	13	14	4	11
Flammeovirgaceae	70	163	174	127	104	60	5951	6717	5070	701	2950	1003	37	71	280	53	507	290	2489	2280	760	732	3246	557
FlavobacteriaCL	174	268	811	325	471	273	404	319	178	423	91	104	271	271	1541	259	1675	285	387	272	238	261	701	157
Flavobacteriaceae	2016	3714	3445	1512	1053	2282	13564	6665	7014	2757	3542	1397	900	1897	1992	1972	3563	5594	3670	5336	3875	3548	6206	2030
Flexibacteraceae	0	1	0	0	1	1	193	1198	879	185	623	33	2	57	58	15	123	4	45	17	58	49	40	12
Fusobacteriaceae	0	0	16	2	6	0	0	0	0	2	1	0	10	18	99	3	251	12	302	178	77	85	506	24
GCA004OR	6	4	13	18	2	23	2490	994	1358	640	1101	1343	69	2876	127	51	12	101	3018	2680	4093	3974	5646	1689
GN02PH	12	49	8	15	3	13	0	0	0	0	4	0	1	4	22	4	14	2	1	0	0	0	0	0
GN03OR	39	22	276	91	460	181	268	144	368	1563	641	1376	235	537	824	283	1106	239	613	336	546	458	789	119
GN04PH	0	0	0	0	0	0	0	9	4	26	38	83	0	0	0	0	0	0	61	63	137	105	143	51
GN06PH	0	0	0	0	0	0	2	0	0	5	1	0	0	0	0	0	0	0	158	184	164	134	599	79
GN09OR	12	25	69	46	39	33	0	0	2	261	1	1	139	98	306	104	290	309	84	24	333	324	767	108
GN12PH	0	0	0	0	0	0	0	5	3	54	6	74	0	1	0	0	0	0	41	30	80	74	181	112
GN13CL	14	3	25	7	14	18	4	4	15	8	7	22	30	34	21	20	16	30	32	17	24	20	71	22
GN15CL	7	12	17	35	17	13	543	256	358	2814	238	133	7	49	24	9	15	11	1412	1020	2635	2525	2722	1641
GOUTA4PH	0	0	0	0	0	0	0	1	6	67	12	99	0	0	0	0	0	0	1	16	18	24	34	50
GW-22CL	0	0	0	0	1	0	0	0	4	11	0	0	101	107	24	17	17	253	98	117	145	128	253	119
Gallionellaceae	0	0	0	0	0	0	1	1	0	79	364	2282	0	0	0	1	0	0	0	0	0	0	0	0
GammaproteobacteriaCL	12486	10039	9841	10422	12739	12004	12045	8436	9901	2104	5578	3153	6602	6435	7776	6660	8619	7001	5625	7473	6514	5778	9745	8642
Gemmataceae	0	0	0	0	0	0	166	385	540	66	207	34	0	0	0	0	0	0	1	2	0	0	1	0
Gemmatimonadaceae	0	0	0	0	0	0	0	1	1	21	37	64	0	0	0	0	0	0	0	0	0	0	0	0
GemmatimonadalesOR	0	0	1	0	0	0	2	736	101	452	1097	1345	0	0	0	0	0	0	1	1	0	1	0	0
GemmatimonadetesCL	495	401	386	546	642	452	1631	4688	4110	3938	6782	5223	454	675	387	423	380	661	1615	1894	1643	1486	2518	1364
Geobacteraceae	0	0	1	1	0	0	0	15	33	959	49	1197	0	1	1	0	1	0	0	0	0	0	3	0
H5	0	0	0	0	0	0	2480	1230	1394	223	459	1021	0	0	0	0	0	0	14	7	2	2	19	1
HMMVPog-54OR	0	0	0	0	0	0	1	1	4	8	0	0	0	0	0	0	0	0	131	241	159	145	290	114
HN1-15OR	0	0	0	0	0	0	179	117	107	13	17	0	0	0	0	0	0	0	0	1	0	1	0	0
HTCC2089	660	677	344	560	1476	640	635	1202	1095	109	650	74	272	374	691	423	677	288	903	1193	590	594	1308	287
HTCC2188	32	18	18	15	56	28	830	1364	775	78	169	35	16	22	78	15	134	9	567	359	234	208	673	52
Hahellaceae	0	0	0	0	0	0	81	418	264	22	112	8	0	0	0	0	0	1	4	0	0	0	1	0
Halanaerobiaceae	10969	7160	10575	9101	6259	4843	7	24	24	307	12	21	8342	8067	4269	4119	12271	11705	8	78	113	82	244	301
Haliangiaceae	1	0	5	3	0	4	72	122	84	50	403	428	8	60	10	4	7	8	392	153	407	327	652	150
Halobacteriaceae	7241	2414	19660	2882	17826	20774	58	148	376	85	436	13	3754	21456	13775	11378	6123	10461	45	879	13443	10573	1060	11914
Halobacteroidaceae	96	52	2710	57	1080	2299	3	9	5	1	0	0	538	880	1136	1572	2012	883	3	5	26	27	42	53
Halomonadaceae	7320	2700	1231	1001	1642	2051	116	63	154	6	13	14	419	1311	1313	603	1103	527	278	110	154	131	813	132
Haloplasmataceae	135	56	544	68	464	932	3	8	15	295	13	9	200	149	685	432	183	334	3	30	14	9	51	119
Halothiobacillaceae	1331	549	1025	529	499	932	2	9	38	11	1	0	781	1519	1605	543	528	564	9	251	29	39	186	147
HaptophyceaeOR	0	0	6	32	2	209	0	0	0	0	0	0	253	949	294	2684	11	1834	0	0	0	0	0	1
Helicobacteraceae	36	40	44	31	13	28	79	4	1	13	35	992	13	71	32	14	47	16	3010	622	3196	3215	8273	686
HolophagalesOR	0	0	0	0	0	0	64	53	110	19	113	15	0	0	0	0	0	0	363	249	488	403	860	219
HydGC-84-221APH	1	2	0	4	1	12	0	0	0	0	0	0	23	112	10	1	1	3	0	0	1	0	0	0
Hyphomicrobiaceae	0	0	2	0	4	4	586	4485	2282	1354	6552	2412	0	23	3	11	1	0	34	130	40	52	102	68
Hyphomonadaceae	36	52	47	89	29	56	136	75	1331	25	134	14	192	146	45	213	66	507	6	4	10	13	26	8
Idiomarinaceae	361	118	32	27	32	40	1	1	0	0	0	0	5	13	56	9	75	28	1	0	0	0	1	1
Ignavibacteriaceae	2	0	1	2	0	0	369	130	395	9335	3487	11209	0	0	1	1	1	0	667	386	359	342	614	127
Intrasporangiaceae	0	0	0	0	0	0	1614	355	160	21	47	2	1	2	0	0	0	1	5	14	16	13	31	8
Isosphaeraceae	4	1	9	6	7	23	0	0	0	1	0	0	8	15	12	36	5	19	0	0	0	0	0	0
JTB38	75	133	217	300	247	127	417	2800	745	71	983	368	163	153	292	202	295	132	129	82	68	74	208	20
JdFBGBact	0	0	0	0	0	0	5	58	138	27	230	6	0	0	0	0	0	0	2	0	1	0	10	0
KB1CL	1	1	1	6	31	64	0	1	1	0	0	0	176	1317	71	196	11	103	0	0	1	0	0	0
KSB1PH	1	1	0	0	0	0	3	143	29	4	20	2	0	0	1	0	0	1	5	19	47	32	151	73
Kiloniellaceae	14	28	27	23	39	23	46	342	54	31	36	29	18	11	30	9	20	4	0	0	41	36	10	58
Kordiimonadaceae	0	0	0	0	0	0	0	0	5	10	27	101	0	0	0	0	0	0	0	0	0	0	0	0
KordiimonadalesOR	143	285	105	152	83	46	3	1	2	2	1	0	72	33	160	55	161	114	7	0	15	4	95	20
Kueneniaceae	0	1	1	0	2	1	0	0	0	1	0	0	34	133	12	17	13	43	44	21	85	57	63	86
KueneniaeCL	3	3	2	3	4	4	78	52	188	437	106	140	16	123	9	17	3	2	327	196	327	313	732	275
LCP-89PH	2	2	2	10	1	18	0	0	2	0	0	2	11	404	5	5	1	15	108	139	200	163	487	262
LD1-PA13OR	0	0	0	0	0	0	121	338	135	12	179	8	0	0	0	0	0	1	344	324	269	297	389	60
Lachnospiraceae	0	0	0	0	0	0	0	1	0	88	5	7	0	3	3	0	0	1	2	12	9	20	10	12
LactobacillalesOR	6	13	30	12	16	54	0	0	0	0	0	0	4	5	59	7	29	7	2	0	0	0	0	0
Legionellaceae	0	0	0	0	0	1	47	38	13	0	32	3	101	10	0	5	0	14	0	0	0	0	0	0
LegionellalesOR	18	5	73	8	13	38	10	6	9	254	3	0	9	14	105	7	95	9	0	1	1	1	0	5
LentisphaeraeCL	1	1	0	0	3	2	0	0	0	0	0	0	2	72	16	1	3	3	0	0	0	0	0	0
LentisphaeralesOR	123	34	54	67	255	43	0	0	0	0	0	0	93	416	394	46	310	127	149	19	22	20	249	11
Leptospiraceae	76	88	135	63	66	95	29	1	24	186	21	83	201	142	231	140	301	315	210	76	92	93	183	40
Litincolaceae	37	48	52	143	72	30	2	228	25	768	19	44	33	29	50	31	75	19	38	66	35	27	51	196
MC47OR	0	0	0	0	0	0	0	44	17	854	127	472	1	0	0	0	0	0	0	1	0	0	0	0
ML615J-28CL	2266	1169	282	421	1802	308	115	3	0	2	0	20	241	550	905	609	486	566	4	16	18	6	23	31
ML635J-28	110	203	159	38	73	53	0	0	0	0	0	0	1	5	8	5	3	1	0	2	17	12	0	4
MND4	0	0	0	0	0	0	2	17	189	65	105	3	0	0	0	0	0	0	33	23	23	17	31	1
MOB7-9	6	4	4	6	18	10	0	0	0	0	0	0	16	57	13	4	0	2	108	23	59	55	119	13
MSB-5A5CL	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	533	287	140	127	279	41
MSB-5B5CL	19	4	6	12	15	17	0	0	0	0	0	0	61	97	42	14	10	17	80	32	136	131	133	33
MSBL2OR	1	1	6	7	7	5	0	0	0	0	0	0	41	40	22	28	14	26	0	0	0	0	0	0
