#Family	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
Nitrospinaceae	0	0	0	0	0	0	4	64	5	2	44	44	0	0	0	0	0	0	2	3	1	0	2	0
Nitrospiraceae	0	0	0	0	0	0	617	992	985	288	639	24	0	0	0	0	0	0	92	78	24	22	107	13
NitrospiralesOR	0	0	1	0	0	0	0	0	0	123	11	71	0	0	0	0	0	0	0	5	10	6	12	29
Nocardioidaceae	0	0	0	0	0	0	98	30	11	27	51	24	0	0	1	0	0	1	0	1	1	1	1	3
Nostocaceae	0	0	0	0	24	9	0	0	2	0	0	1	65	110	7	169	1	152	0	0	0	0	1	0
O4D2Z37OR	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	261	177	382	353	646	81
OM190OR	2	4	7	10	2	2	98	653	134	66	883	432	5	2	6	11	8	5	7	17	15	6	33	22
OM60	7724	5336	3113	4426	6241	5351	2982	1791	2285	568	687	218	2116	2729	2602	2851	2484	3249	5156	5801	3114	2932	6554	1283
OP3PH	3	0	1	1	2	3	0	0	0	0	0	0	17	58	35	13	9	16	0	0	3	3	0	0
OP8_2CL	0	0	0	0	0	0	2	0	9	28	0	2	0	0	0	0	0	0	290	170	247	242	978	200
OPB11OR	3	3	13	5	7	47	8	9	8	264	4	8	15	981	59	36	8	44	305	348	690	748	1301	328
OPB56CL	154	141	272	282	279	193	18	2	12	0	5	0	371	304	278	131	309	224	23	16	48	33	69	15
OS-KCL	0	2	0	1	0	1	211	24	63	79	51	160	2	9	1	0	0	0	880	739	1637	1500	2281	589
Oceanospirillaceae	152	178	166	130	180	266	299	1236	372	125	403	502	73	219	186	203	123	89	97	176	157	152	188	103
OceanospirillalesOR	0	0	0	0	0	0	14	3	11	3	2	1	0	17	0	0	0	0	212	198	61	60	256	38
Oleiphilaceae	1	9	7	6	12	4	0	2	5	2	0	2	1	6	9	3	14	1	6	0	0	3	15	4
Opitutaceae	0	1	0	0	0	0	4	10	14	7	8	0	0	0	0	0	0	0	29	54	23	26	64	15
OpitutaeCL	0	0	0	0	0	0	116	402	323	68	488	63	0	0	0	1	0	0	7	1	2	2	6	0
PAUC34fPH	0	0	0	0	0	0	18	94	17	1	2	1	0	0	0	0	0	0	9	3	15	18	51	4
PBS-18OR	28	9	16	1	21	12	1	0	0	0	0	0	37	8	25	0	24	0	5	17	17	19	45	29
PBS-25CL	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	8	2	56	65	35	5
PBS-III-9OR	21	10	20	14	22	27	8	2	3	131	26	74	39	144	28	29	22	70	71	215	507	441	674	956
PRR-10	0	0	0	0	0	0	18	127	84	9	117	3	0	0	0	0	0	0	57	62	19	28	57	1
PRR-11CL	10	10	25	23	39	19	1	13	9	195	65	158	19	75	49	26	42	16	44	19	128	100	99	64
PRR-12CL	0	0	7	1	5	7	22	42	55	121	32	13	1	17	7	1	5	1	221	400	529	504	463	253
PW285CL	0	0	0	0	0	0	2	14	2	1	15	1	0	0	0	0	0	0	37	11	3	5	53	4
Paenibacillaceae	1	0	18	4	8	19	1	17	97	426	69	102	14	36	48	49	3	7	9	136	38	46	154	721
Parachlamydiaceae	3	7	63	39	21	15	0	10	4	202	9	5	52	40	51	58	67	234	0	0	2	1	1	3
Patulibacteraceae	0	0	1	0	0	0	34	39	44	1	4	0	0	0	0	0	0	0	0	0	1	0	2	0
Pelobacteraceae	551	198	518	334	1146	150	190	687	381	8173	1545	2041	39	53	269	46	27	46	79	978	2745	2315	2674	10331
Peptococcaceae	157	170	200	221	170	152	0	10	18	144	68	34	115	76	164	168	104	236	24	157	112	71	372	633
Phormidiaceae	0	1	17	1	2	2	3	1	0	0	0	0	21	55	44	8	218	3	0	0	0	0	0	0
Phycisphaeraceae	2	9	46	32	26	12	196	161	776	338	451	153	22	22	72	20	77	50	26	76	252	208	93	677
PhycisphaeraeCL	141	128	176	211	242	170	112	168	337	2626	409	1740	547	954	329	282	609	871	2002	1675	3797	3402	5560	2057
PhycisphaeralesOR	49	73	202	177	118	122	33	154	104	106	128	235	169	113	298	227	299	113	40	61	112	86	141	93
Phyllobacteriaceae	14	9	55	16	49	135	2068	2952	2960	1452	2477	1007	37	319	81	103	46	44	640	2060	904	810	1676	967
Pirellulaceae	0	0	0	0	1	0	88	1163	376	337	795	223	1	0	1	0	0	2	6	46	41	30	81	88
PirellulalesOR	304	215	1277	281	777	2298	3872	4099	4981	1741	3157	891	2063	2837	2096	3416	1583	3156	1009	2165	1221	1098	1917	2344
Piscirickettsiaceae	1382	1227	928	667	1353	833	117	614	112	6	131	18	246	521	744	289	951	338	41	21	45	48	114	15
Planctomycetaceae	76	108	319	258	88	212	3243	2509	3081	344	868	170	148	185	258	291	401	544	84	232	83	87	170	88
PlanctomycetesPH	0	0	0	0	0	0	16	9	8	23	48	162	0	0	0	0	0	0	38	36	18	16	93	25
Planococcaceae	1	0	27	0	20	224	27	41	71	20	32	19	116	912	164	464	10	129	24	111	206	184	380	1126
Porphyromonadaceae	2	35	2	6	6	0	0	0	0	8	0	0	0	3	24	3	49	17	65	60	3	7	147	15
ProteobacteriaPH	34	50	136	96	31	18	864	402	281	83	59	3	43	27	105	46	96	49	336	143	258	274	331	79
Pseudanabaenaceae	1	0	10	7	9	57	0	0	0	0	0	0	28	44	18	16	14	16	0	0	0	0	0	0
Pseudoalteromonadaceae	5	5	1	2	3	7	12	3	5	0	1	1	1	1	104	2	1	188	0	1	1	1	21	1
Pseudomonadaceae	0	0	0	0	0	3	1	0	0	0	0	0	1	287	7	1	2	17	0	0	6	9	1	3
Psychromonadaceae	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	18	16	10	15	47	62
Puniceicoccaceae	155	186	560	157	326	75	259	699	521	44	748	31	242	279	1421	107	2194	621	380	111	279	219	406	42
R76-B18CL	5	2	9	7	11	7	605	217	152	46	46	33	7	21	19	11	28	14	228	129	170	193	455	70
RB25CL	0	0	0	0	0	0	488	707	454	168	397	376	0	0	0	0	0	0	722	411	501	514	946	135
RF39OR	25	62	7	7	3	14	0	0	0	0	0	0	1	2	3	2	0	2	0	0	0	0	0	0
Rhabdochlamydiaceae	3	9	63	78	2	2	10	8	8	45	22	3	0	6	4	0	5	1	0	2	1	2	1	1
RhizobialesOR	23	17	59	69	26	218	1504	2719	4022	701	2169	570	2162	868	132	800	94	298	97	443	233	214	406	296
Rhodobacteraceae	24600	23575	27190	25358	18986	33028	7185	3168	5559	1278	2924	509	24794	23068	21664	30686	17840	30190	2169	3491	4632	4538	4981	1839
RhodobacteralesOR	0	0	0	0	0	0	154	575	798	79	860	64	0	2	0	0	0	0	4	2	3	4	10	1
Rhodobiaceae	0	0	0	0	0	0	9	149	380	93	607	155	0	1	0	0	0	0	0	1	1	1	0	0
Rhodocyclaceae	0	0	0	0	0	0	16	47	13	21	153	24	0	0	0	0	0	0	1	0	0	0	8	0
RhodocyclalesOR	0	0	0	0	0	0	200	237	187	1046	388	1832	0	0	0	1	0	0	485	208	262	276	591	50
Rhodospirillaceae	467	422	1589	580	1514	1065	6738	15644	18515	1758	9832	3196	829	902	1512	914	1777	1043	776	887	2095	1705	1595	2229
RhodospirillalesOR	0	0	0	0	0	0	47	70	78	6	111	28	0	0	1	0	0	0	25	20	18	12	62	6
Rhodothermaceae	1779	1394	1953	1371	3623	2853	3563	6477	6194	1439	4474	2323	588	1325	1510	863	1032	1049	206	190	490	372	283	102
Rickettsiaceae	5	30	7	11	71	43	0	0	0	0	0	0	7	2	13	9	22	19	0	0	0	0	0	0
Rubrobacteraceae	0	0	0	0	0	0	1	0	18	227	14	52	0	1	0	0	0	1	24	58	34	32	76	84
Ruminococcaceae	78	77	92	116	45	52	0	1	0	34	1	2	96	85	32	90	15	64	25	164	744	604	533	755
S0208OR	1	0	0	0	0	0	134	307	440	166	102	4	0	0	0	0	0	0	231	246	191	179	539	166
S085OR	0	0	0	1	0	0	95	481	449	154	517	113	0	0	1	0	0	0	1	1	0	0	2	0
SAW1_B6OR	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	131	112	319	305	382	151
SB-34OR	0	0	0	0	0	0	3	0	46	1120	1	17	0	0	0	0	0	0	39	78	64	70	128	83
SB-45OR	0	1	0	0	0	1	0	0	1	62	2	1	0	11	0	0	0	1	5	85	90	91	137	290
SBRH58CL	2	0	0	1	3	3	0	0	6	49	1	1	27	43	2	13	2	30	285	107	59	50	238	36
SC72CL	93	169	29	54	127	54	0	0	0	0	0	0	96	44	17	174	11	19	0	0	1	0	0	0
SHA-20OR	0	0	0	0	0	0	12	0	3	13	0	0	0	1	0	0	0	0	322	511	563	566	1102	242
SHA-31	0	0	1	0	0	0	1538	565	349	43	251	640	0	0	0	0	0	0	185	232	312	307	1146	172
SHA-4	621	395	478	509	701	94	0	1	0	1	0	0	250	284	218	113	185	110	87	64	324	304	313	84
SJA-28CL	0	0	0	0	0	0	1	70	20	2	23	0	0	0	0	0	0	0	25	93	6	11	21	7
SJA-4CL	342	236	91	97	169	78	344	589	234	617	992	166	88	66	39	35	25	34	0	40	83	64	11	377
SM1B09CL	0	0	0	0	0	0	11	195	217	41	381	31	0	0	1	0	0	0	0	0	0	0	0	0
SOGA31CL	1	1	0	0	1	0	510	500	540	528	949	1059	1	6	0	0	2	2	42	105	58	51	140	37
SR1PH	491	1142	207	204	86	104	0	1	0	0	0	0	60	48	229	63	167	119	0	0	0	0	4	0
SSS58AOR	2	0	2	1	3	39	0	3	5	1	1	0	282	2541	90	136	6	12	247	157	441	438	387	68
SSW63AuOR	75	81	124	158	153	43	0	1	1	13	1	14	81	150	205	130	272	70	37	122	572	440	115	803
Saccharospirillaceae	59	112	48	72	140	69	101	25	18	4	6	4	109	72	191	119	154	169	9	0	0	0	4	4
Salinisphaeraceae	0	0	0	0	0	0	0	4	0	0	0	1	1	2	2	1	0	1	0	63	84	70	22	1527
SalinisphaeralesOR	0	0	0	1	0	0	0	0	0	0	0	0	595	10	0	14	0	31	0	0	0	0	0	0
Saprospiraceae	24365	25174	15167	21405	20699	19854	6253	4368	6760	856	2424	178	3999	2270	8836	3437	16284	3199	2280	1292	522	501	2919	252
Sediment-1OR	1	0	0	0	0	0	134	393	717	496	480	88	0	0	0	0	1	1	196	167	128	165	358	72
Shewanellaceae	0	0	0	0	0	0	0	0	0	21	0	1	0	0	0	0	0	0	16	13	75	48	83	17
Simkaniaceae	1	2	55	138	5	8	6	0	2	0	3	1	19	6	54	9	92	23	10	1	40	41	20	2
Sinobacteraceae	3731	3226	2999	4049	3151	2670	8169	5224	8229	1377	3034	1084	2324	2561	1656	2370	2171	2942	13396	13810	8727	8606	17198	2995
Solibacteraceae	8	7	27	16	22	23	527	1881	1658	2751	2061	851	10	22	31	20	16	22	53	80	111	94	193	68
SolirubrobacteralesOR	1	1	2	0	3	3	1748	1886	746	589	1436	599	2	14	8	8	0	0	62	203	82	72	151	65
Spartobacteriaceae	0	0	0	0	0	0	190	31	37	2	11	0	0	0	0	0	0	0	0	0	0	0	1	0
SphingobacterialesOR	4	14	35	30	1	1	130	3344	190	644	471	778	22	20	115	6	147	49	136	123	43	45	164	21
Sphingomonadaceae	1	0	0	0	0	0	169	194	265	65	106	16	1	5	0	0	1	2	17	13	17	18	54	8
SphingomonadalesOR	1	0	3	1	1	1	1075	245	1189	306	458	115	0	6	1	1	0	2	101	153	165	158	189	36
Spirochaetaceae	4582	5489	4551	6003	5863	4448	240	95	163	1833	470	3569	7790	8160	7498	5682	9319	10227	1219	1246	3836	3158	4472	5109
SpirochaetesPH	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	28	23	20	18	49	13
Sporolactobacillaceae	0	0	2	0	2	10	2	10	20	71	143	288	8	27	33	37	0	9	6	24	63	46	277	377
StramenopilesOR	31	30	164	35	36	405	402	88	265	107	37	2	44575	8890	2243	4656	7453	6261	1904	672	862	795	3733	334
StreptophytaOR	0	0	0	0	4	1	95	244	410	42	422	572	1	0	0	0	0	0	3	0	1	0	14	0
Sva0725OR	4	4	6	6	18	14	343	1175	1570	1799	5732	1426	5	8	18	31	50	24	355	580	221	251	822	172
Symbiobacteriaceae	61	42	179	155	127	151	33	207	71	197	161	95	38	126	150	84	98	72	133	61	175	165	337	60
SynergistalesOR	143	121	89	177	67	200	0	0	1	0	0	0	33	20	11	124	5	11	0	1	0	0	0	0
Syntrophaceae	7	8	37	3	24	24	14	3	4	80	0	0	2	18	30	8	9	4	38	144	143	102	284	170
Syntrophobacteraceae	2	5	9	8	13	8	743	1491	1711	6799	1991	1203	12	382	27	3	8	11	3943	5076	2443	2522	6028	1993
SyntrophobacteralesOR	15	3	10	18	22	32	0	0	5	83	1	2	14	5	2	16	0	0	0	2	0	1	4	13
Syntrophomonadaceae	19	51	47	145	3	6	0	0	0	0	0	0	12	43	29	32	7	24	0	0	2	0	1	1
TG3-2CL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	63	61	19	25
TK17CL	0	0	0	0	0	0	94	299	259	147	639	152	0	1	0	0	0	0	1	5	3	1	7	1
TTA_B6	15	25	26	23	1	1	0	0	0	0	0	0	0	1	0	32	0	5	0	0	0	0	3	0
TenericutesPH	216	172	33	62	168	61	0	0	0	0	0	0	37	30	18	79	8	3	0	1	0	0	0	0
ThermoanaerobacteralesOR	0	0	0	0	0	0	0	23	1	706	1	9	0	1	1	0	0	1	0	54	19	16	29	526
Thermodesulfovibrionaceae	0	1	0	0	0	0	68	4	17	776	11	7	0	1	0	1	0	0	1004	691	238	224	1853	119
ThermomicrobiaCL	0	0	0	0	0	0	0	7	7	272	59	128	0	0	0	0	0	0	0	0	0	0	1	0
ThermomicrobialesOR	1	1	7	2	1	35	1024	595	769	116	357	102	5	1	6	14	2	15	7	23	1	1	15	3
Thermomonosporaceae	0	0	0	0	0	0	0	146	8	185	11	83	0	1	1	1	0	0	0	0	1	0	0	0
ThermoplasmatalesOR	0	0	0	0	0	0	0	185	5	2351	13	130	0	0	0	8	0	0	0	4	0	0	6	0
Thermotogaceae	1146	914	1235	1646	1059	739	0	2	3	2	0	2	5744	851	797	1892	3196	5888	1	0	4	2	0	2
ThermotogalesOR	18	20	20	26	17	9	0	2	2	57	15	63	7	5	10	33	10	10	0	6	1	0	15	13
Thermovirgaceae	6	10	7	14	24	15	0	0	0	0	0	0	61	19	22	8	37	27	0	0	0	0	0	0
Thiotrichaceae	0	1	10	2	2	3	0	0	0	0	1	0	69	14	10	18	18	13	0	0	0	0	1	0
ThiotrichalesOR	0	0	0	0	0	0	28	105	24	23	197	4	0	0	0	0	0	0	0	0	0	0	0	0
Trebouxiophyceae	0	0	0	0	0	0	0	1	0	0	0	0	74	8	0	14	0	5	0	0	0	0	0	0
Ucn15732CL	0	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0	18	27	16	17	39	4
Ulr1583CL	0	0	0	0	0	0	0	0	0	4	6	97	0	0	0	0	0	0	0	0	2	1	1	2
VC12-cl04CL	37	51	156	11	20	14	0	0	0	0	0	0	9	3	19	6	20	2	0	0	0	0	0	0
VHS-B5-50CL	0	0	0	0	0	0	205	169	228	28	164	8	0	0	0	0	0	1	14	74	28	23	67	18
Verruco-5CL	43	25	79	19	117	56	11	0	13	51	0	6	153	494	330	93	234	220	622	220	288	277	626	179
VerrucomicrobiaPH	12	9	26	2	18	6	0	0	3	87	5	10	24	53	40	41	56	46	0	2	6	3	1	5
Verrucomicrobiaceae	39	66	172	86	112	64	1082	384	706	72	141	19	69	89	261	246	415	472	82	147	418	374	266	151
VerrucomicrobialesOR	0	0	1	0	0	0	267	810	559	975	866	1136	0	0	0	0	0	0	301	136	90	83	283	19
Vibrionaceae	30	62	37	24	49	33	60	51	65	17	106	981	21	44	37	26	26	57	104	46	20	14	168	15
WM88CL	3	1	7	16	7	238	1	4	4	2	0	0	338	998	39	114	4	52	136	78	533	495	195	136
WPS-2PH	0	1	13	1	1	6	4	2	12	0	1	0	12	3	49	3	55	11	0	0	0	0	0	0
WS1PH	118	65	83	117	44	131	0	0	4	59	17	42	104	280	100	163	42	204	1	33	81	67	81	162
Waddliaceae	0	1	0	0	0	1	81	183	151	66	254	16	0	6	3	2	0	0	0	85	12	4	2	21
Xanthomonadaceae	0	1	0	0	0	1	115	3539	55	1773	3960	2346	3	15	14	40	0	2	8	143	16	15	30	6
XanthomonadalesOR	0	0	0	0	0	0	0	20	11	311	115	102	0	1	1	1	0	1	1	0	0	0	0	0
YS2OR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	13	21	18	14	52
Z20OR	48	25	29	28	123	17	0	0	1	0	0	0	70	168	128	25	152	38	0	2	4	8	1	5
ZA3412c	0	0	0	0	1	0	0	768	8	70	73	991	0	0	0	0	0	0	30	53	39	38	69	170
ZB1OR	0	0	5	2	1	2	15	2	37	284	26	407	4	13	15	4	0	6	471	514	668	604	1305	813
ZB2PH	95	154	110	194	107	68	1	0	2	0	1	1	124	103	97	102	120	98	0	0	0	2	1	0
envOPS12OR	0	0	0	0	0	0	401	179	628	221	317	526	0	0	0	0	0	0	521	257	289	301	674	45
koll11CL	0	0	6	4	2	4	0	0	0	1	0	0	28	117	48	31	65	20	0	0	0	0	0	1
koll13OR	2	2	2	0	2	12	1868	2193	2155	691	2606	302	7	4	5	8	0	3	452	843	132	144	769	115
kpj58rc	0	0	0	0	0	0	0	3	0	3	1	2	0	0	0	0	0	0	78	14	44	50	86	13
mle1-48OR	0	0	0	0	0	0	70	132	155	43	455	289	0	0	0	0	0	0	0	1	0	0	1	0
ntu14	5	2	16	10	10	16	0	1	5	0	1	0	43	65	45	75	11	26	5	3	0	1	10	1
pGrfC26OR	0	0	0	0	0	0	0	0	10	321	3	35	0	2	0	0	0	0	40	82	32	28	79	93
pMC2A209CL	77	23	152	176	42	90	1	2	0	1	0	0	359	409	79	170	14	52	64	30	231	163	94	41
pMC2A33	66	60	48	220	225	302	0	5	1	0	0	1	1223	2952	277	131	10	29	17	9	70	68	88	29
so4B24	1	0	0	0	0	0	1	0	12	19	0	0	0	0	0	0	0	0	257	223	259	252	1025	106
vadinHA49CL	0	0	0	0	0	0	32	127	81	19	9	2	0	0	0	0	0	0	85	79	45	57	160	26
wb1_H11OR	0	0	0	0	0	0	98	58	175	40	50	9	0	0	0	0	0	0	196	117	50	66	223	23
wb1_P06	0	0	0	1	0	0	20	96	96	32	488	89	0	0	0	0	0	0	14	28	18	18	48	4
