"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1298",21.0664968172724,-7.73343674814326,1.75627485161329,-4.39036382725462,1.13161162606835e-05,1.91003547392036e-05
"1299",13.2387594768109,0.432531442568897,0.571196948470106,0.757320329389376,0.448857974298372,0.462396896892698
"1300",22.9694636449423,-9.69319262122699,0.751183513779432,-11.0919875049325,1.37204974501747e-28,3.66298632631071e-27
"1301",8.53657999961847,-2.17298453789868,0.826436584115786,-0.525925932646787,0.598939670070717,0.609061236383607
"1302",16.323498530096,6.52259067796392,0.794656042388545,8.19435842242152,2.51933307901597e-16,1.9178296591465e-15
"1303",23.0469449253369,-8.27303194728238,1.02898217470663,-8.03932482513346,9.03348248016416e-16,6.40110880043035e-15
"1304",19.8802041052402,-7.69964754919624,1.30551050733068,-5.89460979875772,3.75567800487724e-09,1.1028485915174e-08
"1305",31.0859157651084,-8.34740728461453,1.62646576104719,-5.1213282978294,3.03390915820021e-07,6.63295825763379e-07
"1306",5.43956755356504,-3.30385169717242,0.808793688581537,-2.06447321791639,0.0389728706629949,0.0434292041985343
"1307",14.7157398261322,3.09709400931898,0.977028536198053,3.16409841654872,0.00155564181395898,0.00194570706589194
"1308",25.7052486337224,-8.14795161870272,1.11902025793685,-7.27983134869824,3.34237756710617e-13,1.71693134917337e-12
"1309",28.9607026463337,-8.41135335114891,1.38006390171077,-6.08946801662819,1.13286493287311e-09,3.59990860060517e-09
"1310",1.63879438867568,-9.708024346967,1.81263917080187,-2.35833882520028,0.018356929330209,0.0209107929960404
"1311",28.7380435686586,-8.27892680382232,1.57320424862736,-5.25306682145947,1.49587234292544e-07,3.4410510024456e-07
"1312",29.4968934033544,-8.19447144410335,1.40078421905519,-5.84382237834615,5.1016424834226e-09,1.46962968500419e-08
"1314",14.1537277182298,6.58043844898507,0.775090239061,8.49015725520756,2.06357677867368e-17,1.80253907095667e-16
"1315",23.2954452533891,-7.85081639732619,1.77305548905076,-4.41437960898439,1.0130007014228e-05,1.72442104135331e-05
"1316",6.73826061827216,0.699028720733632,1.0768518856926,0.64884835569523,0.516436398503532,0.527853973234535
"1317",13.2237502756073,4.94502679526192,0.720124719642788,6.83689638284743,8.09272299072078e-12,3.41262656927948e-11
"1318",32.0715941421001,-8.58488718856929,1.32146753151754,-6.49189750297493,8.4761921267922e-11,3.13801214381535e-10
"1319",10.599843879333,2.09800379089497,0.75630359534395,2.77169649831815,0.00557650035904703,0.00663335828715008
"1320",27.4975935380935,-10.0228277655413,1.22291106575852,-6.87497699128134,6.19998651799715e-12,2.64091560558733e-11
"1321",29.8044514227144,-8.57516528512402,1.14627410246906,-7.47892944466342,7.49304860719197e-14,4.1712404214192e-13
"1323",3.13986362165522,2.21777948325804,1.04597532304186,-0.338279190353668,0.735152804021427,0.744182718303132
"1324",25.2966916171559,-8.32359020200881,1.19905986048681,-6.93924637931307,3.94197124384869e-12,1.73163534014257e-11
"1325",22.484281348646,-8.09354301775049,1.32800089574408,-6.0904311621722,1.12606996624819e-09,3.58432514025767e-09
"1326",22.5112715276764,-3.25846166128561,0.501066678815251,-6.50077379046208,7.99079134502564e-11,2.96700195778572e-10
"1327",25.7483155865292,-5.32595103868229,0.706107321201333,-7.52460582419606,5.28796096444046e-14,3.01907530364364e-13
"1328",21.4881202760794,-7.58116085143101,1.68018729791955,-4.50400922119919,6.66833110071618e-06,1.16603520308188e-05
"1329",41.126989806159,-8.53862790555677,1.85822823918587,-12.4240657855653,1.93473322360337e-35,1.0629816885044e-33
"1330",20.5649718925713,-3.86451732706566,0.692752237360824,-5.57287152935259,2.50574356804167e-08,6.56027200721407e-08
"1331",27.1026759919887,-8.5061572684444,1.01102973241374,-8.41271440983645,4.00629584110758e-17,3.36759812275806e-16
"1332",21.3694512108121,-7.82230110866985,1.26959367324192,-6.15821685516185,7.35685729960114e-10,2.38318806954793e-09
"1333",0.405712346603517,5.91192682762695,1.23938043370865,1.16260800933456,0.244988579698906,0.257129486610895
"1334",13.3589868717127,5.2922156074449,0.843196194191014,6.25753188694333,3.91117704369849e-10,1.30292374100712e-09
"1336",14.5980711686001,5.26275455898592,0.669056357214878,7.82699841678242,4.99655379754691e-15,3.24904553113213e-14
"1337",30.5275743307958,-8.60783175563994,1.14240147779205,-7.53304476088522,4.95706092099162e-14,2.85596017499684e-13
"1338",3.32060519250678,2.62855815264213,0.713122951834127,1.01792902247009,0.308711688049148,0.321077094484038
"1339",37.0191288756199,-8.8629998174345,1.16646010279138,-7.59593339022405,3.05581694161395e-14,1.81292676457879e-13
"1340",12.2047544338757,5.98806315437509,1.71657764151244,3.48740488802892,0.000487732367648208,0.000646953605932245
"1341",21.4814016664686,-7.938820480326,1.48575862604203,-5.33668250398499,9.46625856916865e-08,2.25843840375823e-07
"1342",44.838556070472,-8.64826550119416,1.86111429936455,-4.62712318704758,3.70779994207499e-06,6.79703558046725e-06
"1343",4.5180826377311,4.42741587916221,0.847046394508934,5.22281198166908,1.76226300608422e-07,3.99326901139585e-07
"1344",22.2234627376901,-7.83483220482045,1.71348637584904,-4.56051805342746,5.10275748514994e-06,9.15501828026664e-06
"1345",23.4895594607454,-8.11174504732909,1.40032413892266,-5.78748976152099,7.14460406938538e-09,2.01227295891828e-08
"1346",15.7776069354686,5.95418520140821,0.774627467596564,7.66595413526995,1.77506618722958e-14,1.08887959802384e-13
"1347",35.1563754660523,-8.57316745983018,1.54143378407086,-5.55260135667024,2.81449424551075e-08,7.28807901962518e-08
"1348",70.536469884834,-9.39483841234376,1.69569875262711,-14.2590651360881,3.93693112520095e-46,5.8562999294397e-44
"1349",34.1144419918721,-5.51053373395049,1.03776112658021,-5.29776024703922,1.17231752621139e-07,2.75186114047515e-07
"1351",36.7028040830435,-9.71963024691301,1.38588638924371,-6.28870215077026,3.20131006102143e-10,1.08552472641612e-09
"1352",12.4570209058813,5.42858625234406,0.727339908158225,7.43566791976016,1.04040908582224e-13,5.64702632183355e-13
"1354",16.2110781346256,6.05015772612996,0.712021397060353,8.46246882555497,2.61775731229182e-17,2.25543590247688e-16
"1355",23.3729886294995,-7.79823273726979,1.52375363760589,-5.11150289415487,3.1960592727999e-07,6.95138307698476e-07
"1356",29.5365110075738,-8.5361023161913,1.19841479493246,-7.12026666010049,1.07718452640737e-12,5.12372213250985e-12
