"","R2A_A_D1","R2A_A_D2","R2A_B_D1","R2A_B_D2","R2A_C_D1","R2A_C_D2","SF2_A_D1","SF2_A_D2","SF2_B_D1","SF2_B_D2","SF2_C_D1","SF2_C_D2","R1_A_D1","R1_A_D2","R1_B_D1","R1_B_D2","R1_C_D1","R1_C_D2","R2_A_D1","R2_A_D2","R2_B_D1","R2_B_D2","R2_C_D1","R2_C_D2"
"194",0,0,5.34,5.78,0,0,0,5.7,0,0,0,5.13,3029.2,817.02,1179.36,738.54,4207.71,3020.14,3395.3,706.29,1433.6,2708.27,557.28,2005.77
"195",2324.54,760.61,918.02,341.18,350.9,54.3,2661.34,7923.79,1726.74,1716.8,2948.45,2119.27,4.65,9.56,9.75,5.47,0,36.02,0,171.22,16.11,13.54,27.63,25.65
"196",11.18,0,64.05,202.4,11.32,0,2699.36,2143.41,4816.44,4826.06,5119.64,2196.25,0,0,0,0,0,5.15,0,0,0,0,0,0
"197",0,5.68,0,75.18,5.66,76.01,19.01,564.36,2305.74,1962.86,276.22,4043.56,0,0,0,0,0,0,0,0,21.48,0,0,0
"198",1179.03,119.2,154.78,248.66,56.6,0,5797.93,8003.6,1368.07,1666.47,3947.33,1010.89,0,0,0,0,0,0,0,0,0,0,0,0
"199",16.76,5.68,10.67,0,11.32,0,25.35,17.1,10.25,11.18,19.27,20.53,4.65,14.33,53.61,38.29,19.66,257.25,8482.71,2600.42,322.16,5064.46,9.21,8233.39
"200",50.29,17.03,32.02,5.78,0,0,19.01,91.21,3632.82,3327.35,215.19,2452.82,157.96,301.01,657.91,355.6,403.08,1579.53,782.25,5372.06,1175.88,1360.9,299.36,954.15
"201",0,22.7,197.48,24819.58,141.49,1053.33,0,0,0,0,9.64,0,0,0,0,10.94,0,0,0,0,0,0,0,0
"202",0,0,5.34,0,0,0,12.67,1077.41,8546.61,7566.23,61.02,1990.99,18.58,9.56,126.71,0,44.24,195.51,27.74,32.1,220.14,81.25,32.24,15.39
"204",0,3082.18,0,1324.25,350.9,3464.06,44.36,889.29,384.29,313.16,138.11,5454.69,0,0,4.87,0,0,5.15,5.55,16.05,21.48,101.56,0,15.39
"205",0,5.68,16.01,0,0,0,0,5.7,117.85,78.29,3.21,15.39,1300.89,396.56,2314.86,678.37,904.46,524.79,2873.8,834.7,2899.42,494.26,944.15,8530.92
"206",50.29,0,0,0,0,0,0,0,0,5.59,0,0,3335.84,1863.37,560.44,558.01,4537.05,457.91,327.32,567.17,2378.6,1381.22,1100.74,1077.27
"207",1363.43,34.06,613.79,121.44,73.58,32.58,1210.28,1162.92,6819.87,7359.31,1792.2,1118.65,4.65,33.45,4.87,5.47,0,10.29,38.84,658.13,32.22,142.18,13.82,200.06
"208",5.59,5.68,0,5.78,5.66,0,25.35,34.2,312.56,301.98,2643.33,1154.57,1351.99,735.79,3284.66,1498.97,2860.85,2665.13,377.26,465.51,1138.29,1103.62,179.62,446.3
"209",6526.6,5295.9,10498.51,196.61,1635.67,5.43,0,0,10.25,16.78,9.64,5.13,0,0,0,10.94,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0,5.7,10.25,27.96,0,10.26,1635.4,879.13,1447.4,1777.98,1617.22,1723.59,3800.3,3344.16,1036.27,2586.39,635.57,2354.59
"211",72.64,39.73,74.72,11.57,22.64,0,12.67,34.2,5.12,16.78,25.69,5.13,1677.21,1399.92,1306.07,2160.93,2049.78,1260.53,2219.15,1776.42,1326.22,1990.58,1275.75,2888.1
"212",374.39,73.79,117.42,109.87,67.92,38.01,3320.34,2719.17,4544.87,4473.75,3931.27,1642.05,0,4.78,0,5.47,0,0,0,0,0,0,0,0
"213",0,5.68,16.01,11.57,0,0,0,5.7,107.6,67.11,9.64,35.92,1333.41,1232.69,1374.3,1323.91,1936.73,1394.31,1858.54,4071.85,2024.23,1232.26,1275.75,1323.5
"214",83.82,23595.99,64.05,40.48,22.64,0,126.73,176.72,56.36,44.74,195.92,51.31,0,0,0,0,0,0,5.55,5.35,5.37,0,0,0
"215",106.17,45.41,176.13,17.35,11.32,0,0,5.7,10.25,33.55,3.21,20.53,1626.11,1638.81,2933.78,2478.23,1081.42,3292.82,1220.53,775.85,1787.98,1618.19,838.22,1000.32
"216",0,1226.06,165.46,5811.67,2439.36,10658.23,12.67,495.95,25.62,16.78,57.81,821.03,0,0,0,0,0,0,0,0,0,6.77,0,0
"217",0,5.68,10.67,0,5.66,0,0,5.7,40.99,33.55,6.42,133.42,1194.03,678.46,3089.73,618.19,2585.58,4095.45,1004.17,1915.53,2378.6,1794.23,985.6,851.55
"218",871.7,811.7,389.62,2804.64,3350.58,11396.65,177.42,427.54,425.28,346.72,433.6,1139.17,0,0,4.87,0,0,0,5.55,0,26.85,0,41.45,56.43
"219",5.59,124.88,410.97,1197.03,7538.8,14127.71,0,0,0,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0
"220",11.18,0,0,0,5.66,5.43,0,11.4,169.09,128.62,6.42,25.66,92.92,90.78,360.63,103.94,191.71,241.82,438.28,1728.26,3656.49,392.7,7009.72,1031.1
"221",16.76,669.79,21.35,8575.82,16.98,10.86,101.38,1744.37,379.17,352.31,1172.31,2658.07,0,0,116.96,10.94,39.32,236.67,127.6,989.87,2233.63,2390.04,36.84,123.12
"222",8085.61,2088.84,4397.95,173.48,379.2,32.58,120.39,205.22,102.48,89.47,80.3,76.97,102.21,219.78,847.97,880.78,83.56,416.75,327.32,401.3,665.79,704.15,884.28,1369.67
