node_name	node_disp_name	ntype	degree	weighted_degree	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
1098		otu_node	11	354.863841543		otu	otu	otu	otu
1099		otu_node	14	851.197074636		otu	otu	otu	otu
11		otu_node	23	55797.6104498		otu	otu	otu	otu
110		otu_node	24	7819.01630118		otu	otu	otu	otu
1100		otu_node	5	497.277832804		otu	otu	otu	otu
1101		otu_node	11	927.765863068		otu	otu	otu	otu
1102		otu_node	16	374.968690025		otu	otu	otu	otu
1103		otu_node	6	747.78159173		otu	otu	otu	otu
1104		otu_node	6	683.77271612		otu	otu	otu	otu
1105		otu_node	18	441.254642762		otu	otu	otu	otu
1106		otu_node	10	576.620617668		otu	otu	otu	otu
1107		otu_node	22	3330.75924333		otu	otu	otu	otu
1108		otu_node	11	997.670493409		otu	otu	otu	otu
1109		otu_node	13	263.384422954		otu	otu	otu	otu
111		otu_node	7	69014.5533047		otu	otu	otu	otu
1110		otu_node	6	1203.35288815		otu	otu	otu	otu
1111		otu_node	17	396.444035006		otu	otu	otu	otu
1113		otu_node	15	1151.55642075		otu	otu	otu	otu
1114		otu_node	23	471.063345308		otu	otu	otu	otu
1115		otu_node	12	2563.95020741		otu	otu	otu	otu
1116		otu_node	17	398.958017741		otu	otu	otu	otu
1117		otu_node	21	561.048263799		otu	otu	otu	otu
1118		otu_node	19	521.783397917		otu	otu	otu	otu
1119		otu_node	6	815.776316201		otu	otu	otu	otu
112		otu_node	14	4726.14173325		otu	otu	otu	otu
1120		otu_node	11	1030.71994259		otu	otu	otu	otu
1121		otu_node	15	429.62703897		otu	otu	otu	otu
1122		otu_node	8	836.724995729		otu	otu	otu	otu
1123		otu_node	7	898.26494786		otu	otu	otu	otu
1124		otu_node	18	303.826361546		otu	otu	otu	otu
1125		otu_node	11	996.902852566		otu	otu	otu	otu
1126		otu_node	21	589.082228028		otu	otu	otu	otu
1127		otu_node	12	656.930399551		otu	otu	otu	otu
1128		otu_node	15	496.685143275		otu	otu	otu	otu
1129		otu_node	18	179.796691653		otu	otu	otu	otu
113		otu_node	17	4798.11443091		otu	otu	otu	otu
1130		otu_node	10	778.982605973		otu	otu	otu	otu
1132		otu_node	11	865.68547913		otu	otu	otu	otu
1133		otu_node	15	350.157730897		otu	otu	otu	otu
1134		otu_node	14	684.530155136		otu	otu	otu	otu
1135		otu_node	8	1295.18549824		otu	otu	otu	otu
1136		otu_node	6	695.694674216		otu	otu	otu	otu
1137		otu_node	8	1315.56430602		otu	otu	otu	otu
1138		otu_node	7	4036.07924612		otu	otu	otu	otu
1139		otu_node	9	3436.61881877		otu	otu	otu	otu
114		otu_node	20	5788.63722348		otu	otu	otu	otu
1140		otu_node	11	1104.25350218		otu	otu	otu	otu
1141		otu_node	8	796.080242445		otu	otu	otu	otu
1142		otu_node	7	762.268037253		otu	otu	otu	otu
1143		otu_node	9	832.624296849		otu	otu	otu	otu
1144		otu_node	19	1025.83136243		otu	otu	otu	otu
1145		otu_node	12	967.09999199		otu	otu	otu	otu
1146		otu_node	13	483.613082061		otu	otu	otu	otu
1147		otu_node	3	1353.24216454		otu	otu	otu	otu
1148		otu_node	8	1074.95652398		otu	otu	otu	otu
1149		otu_node	8	613.996708068		otu	otu	otu	otu
115		otu_node	23	1918.7148322		otu	otu	otu	otu
1150		otu_node	9	299.678511941		otu	otu	otu	otu
1152		otu_node	11	764.257666719		otu	otu	otu	otu
1153		otu_node	13	475.910486215		otu	otu	otu	otu
1154		otu_node	7	1095.64795209		otu	otu	otu	otu
1156		otu_node	12	1322.49317635		otu	otu	otu	otu
1157		otu_node	10	679.381151849		otu	otu	otu	otu
1158		otu_node	10	936.183993821		otu	otu	otu	otu
1159		otu_node	13	386.555118719		otu	otu	otu	otu
1160		otu_node	16	375.138616135		otu	otu	otu	otu
1161		otu_node	15	398.799987325		otu	otu	otu	otu
1162		otu_node	9	3167.18718657		otu	otu	otu	otu
1163		otu_node	6	532.338124305		otu	otu	otu	otu
1164		otu_node	18	375.019748535		otu	otu	otu	otu
1165		otu_node	16	572.994175025		otu	otu	otu	otu
1166		otu_node	18	909.136499656		otu	otu	otu	otu
1167		otu_node	9	1235.55031303		otu	otu	otu	otu
1168		otu_node	8	863.042547896		otu	otu	otu	otu
1169		otu_node	17	661.481034973		otu	otu	otu	otu
117		otu_node	10	19827.835815		otu	otu	otu	otu
1170		otu_node	21	439.6230555		otu	otu	otu	otu
1171		otu_node	7	688.88773448		otu	otu	otu	otu
1172		otu_node	8	772.812397612		otu	otu	otu	otu
1173		otu_node	13	717.129973092		otu	otu	otu	otu
1174		otu_node	6	1650.3371493		otu	otu	otu	otu
1175		otu_node	11	598.409662878		otu	otu	otu	otu
1176		otu_node	12	472.719405228		otu	otu	otu	otu
1177		otu_node	10	729.755797773		otu	otu	otu	otu
1178		otu_node	14	391.026441502		otu	otu	otu	otu
1179		otu_node	14	422.523307365		otu	otu	otu	otu
118		otu_node	23	6024.99963752		otu	otu	otu	otu
1180		otu_node	8	622.781236041		otu	otu	otu	otu
1181		otu_node	7	1855.17420672		otu	otu	otu	otu
1182		otu_node	20	412.477041597		otu	otu	otu	otu
1184		otu_node	15	466.360256032		otu	otu	otu	otu
1185		otu_node	13	471.273803615		otu	otu	otu	otu
1186		otu_node	21	441.227595866		otu	otu	otu	otu
1187		otu_node	7	758.431415022		otu	otu	otu	otu
1188		otu_node	12	365.509609338		otu	otu	otu	otu
1189		otu_node	18	522.938674089		otu	otu	otu	otu
119		otu_node	24	6060.08187742		otu	otu	otu	otu
1190		otu_node	7	3611.83322259		otu	otu	otu	otu
1191		otu_node	9	944.196767034		otu	otu	otu	otu
1192		otu_node	11	827.333755419		otu	otu	otu	otu
1193		otu_node	10	3188.40306848		otu	otu	otu	otu
1194		otu_node	13	1204.02396809		otu	otu	otu	otu
1195		otu_node	12	768.021223291		otu	otu	otu	otu
1196		otu_node	12	1070.34447526		otu	otu	otu	otu
1197		otu_node	20	322.415464127		otu	otu	otu	otu
1198		otu_node	8	998.697440948		otu	otu	otu	otu
12		otu_node	23	38559.6284544		otu	otu	otu	otu
120		otu_node	17	8410.96076062		otu	otu	otu	otu
1200		otu_node	12	809.139030744		otu	otu	otu	otu
1201		otu_node	12	1070.73287863		otu	otu	otu	otu
1202		otu_node	18	431.050679317		otu	otu	otu	otu
1203		otu_node	5	3509.06502431		otu	otu	otu	otu
1204		otu_node	16	364.602097725		otu	otu	otu	otu
1206		otu_node	17	458.197446824		otu	otu	otu	otu
1207		otu_node	11	4631.26550875		otu	otu	otu	otu
1208		otu_node	6	865.23470004		otu	otu	otu	otu
121		otu_node	19	5212.62609968		otu	otu	otu	otu
1210		otu_node	8	4970.8419611		otu	otu	otu	otu
1211		otu_node	17	486.852139223		otu	otu	otu	otu
1212		otu_node	11	781.605693997		otu	otu	otu	otu
1213		otu_node	6	2288.13021208		otu	otu	otu	otu
1214		otu_node	9	627.462796178		otu	otu	otu	otu
1215		otu_node	11	1227.48174041		otu	otu	otu	otu
1216		otu_node	17	597.780688798		otu	otu	otu	otu
1217		otu_node	12	435.60055904		otu	otu	otu	otu
1219		otu_node	8	627.810489017		otu	otu	otu	otu
122		otu_node	18	4150.95797533		otu	otu	otu	otu
1220		otu_node	10	1169.62298228		otu	otu	otu	otu
1221		otu_node	12	366.184123051		otu	otu	otu	otu
1222		otu_node	6	4316.37585022		otu	otu	otu	otu
1223		otu_node	6	1029.50013477		otu	otu	otu	otu
1225		otu_node	9	1229.59174889		otu	otu	otu	otu
1226		otu_node	12	2118.49544487		otu	otu	otu	otu
1227		otu_node	14	432.775518129		otu	otu	otu	otu
1228		otu_node	13	923.137916056		otu	otu	otu	otu
1229		otu_node	11	858.443176524		otu	otu	otu	otu
123		otu_node	21	11168.6640583		otu	otu	otu	otu
