	sequences per sample	iteration	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2
alpha_rarefaction_20064_9.txt	20064	9	1330.41911765	1509.3553719	2006.48734177	1769.93835616	1670.68518519	1906.96987952	3361.91233766	4252.66896552	4683.92427617	4439.1505102	4234.5	2381.43965517	1820.44339623	3279.82758621	2386.4981685	2439.51388889	1908.15555556	2227.3880597	4800.65354331	4889.92361111	5625.53932584	5522.40842491	6005.18037975	4548.21598272
alpha_rarefaction_40118_0.txt	40118	0	1773.58433735	1718.40939597	2224.56730769	2105.89162562	2030.08108108	2502.56164384	3995.64578313	5141.62385321	5752.71308725	5468.93604651	4837.64244742	2911.51351351	2380.12916667	4023.20673077	3256.16901408	2863.0483871	2376.67811159	2958.59073359	5975.67057101	6248.05689655	6888.09824047	6704.24255319	7875.2739726	6023.92592593
alpha_rarefaction_40118_1.txt	40118	1	1808.52173913	1753.78064516	2306.78037383	2143.86206897	1987.75520833	2406.79912664	4095.8125	5191.09895833	5583.51694915	5517.15257353	5282.66666667	3110.72222222	2680.81775701	4179.84536082	3018.44410876	3011.81052632	2324.3362069	2684.69230769	6194.23839009	6127.66508689	6787.21081081	6710.88872832	7554.68292683	6026.1
alpha_rarefaction_40118_2.txt	40118	2	1735.33333333	1612.25714286	2272.64018692	2149.93298969	2119.31182796	2340.37946429	4015.8375	5303.71616541	5651.68439108	5457.51111111	5215.71428571	3204.97972973	2526.34666667	3945.43181818	3278.84615385	2900.02040816	2425.87142857	2742.99604743	5809.2301013	6272.00530973	7143.88105727	6766.13798009	7964.93432466	5959.22204473
alpha_rarefaction_40118_3.txt	40118	3	1661.17283951	1751.28846154	2227.05286344	2354.87428571	2109.7826087	2545.765625	4104.28101266	5456.72267206	5779.10016978	5489.5597723	5141.67760618	3131.46688742	2562.35294118	3975.1025	3106.45625	3115.05836576	2439.78761062	2617.27368421	6174.29745889	6068.00162338	7011.16994382	6851.03571429	7614.65005663	5663.73076923
alpha_rarefaction_40118_4.txt	40118	4	1747.0617284	1717.47368421	2254.65652174	1963.78801843	2032.62686567	2361.28205128	3951.44312796	5245.12844037	5676.33497537	5406.64480874	4837.36042403	3175.81089744	2333.35135135	3990.42647059	3187.78913738	2922.08333333	2406.67123288	2798.75	5989.65331492	6095.78980892	6893.5704023	6735.71488178	7888.80116959	5808.86666667
alpha_rarefaction_40118_5.txt	40118	5	1663.21686747	1560.1595092	2268.62445415	2188.53333333	2067.81967213	2235.36051502	4216.67317073	4905.34621849	5794.09353741	5280.37974684	5103.09513742	3341.38461538	2495.28318584	4299.17287234	3237.41233766	2894.40133779	2447.8	2940.48062016	6168.56202144	5852.52845528	7003.82189781	6275.03312102	7982.39356436	5911.80680062
alpha_rarefaction_40118_6.txt	40118	6	1805.74	1823.0	2150.72687225	2033.68844221	1959.11848341	2290.31950207	4139.55970149	5000.10391823	5877.33050847	5389.74125874	5014.55102041	3279.5	2401.18032787	4034.60411311	3338.55514706	3045.84172662	2386.90384615	2719.98571429	5942.94222222	5999.73214286	6841.22857143	6956.05752212	7982.25124378	5753.96044304
alpha_rarefaction_40118_7.txt	40118	7	1805.86624204	1774.79470199	2244.29032258	2068.78894472	2035.2606383	2461.86666667	3935.84536082	5129.44285714	5494.40981013	5227.21143847	4986.04963235	3142.96959459	2466.85826772	3991.12266667	2962.89320388	3031.34859155	2394.63636364	2646.22968198	6303.07634731	6058.96210873	6772.38655462	6583.50889193	7757.28486293	5792.94607843
alpha_rarefaction_40118_8.txt	40118	8	1780.51655629	1717.12280702	2354.29032258	2041.32835821	1980.0	2423.59134615	4039.47044917	5041.30420168	5889.93035714	5227.25088968	4966.375	2978.92	2547.23913043	3985.27139364	3130.3	3047.85910653	2529.7047619	2744.2037037	6302.40650407	5986.13869863	6776.11158798	6643.40780619	8082.28295042	5761.25
